uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,throughput,reliabilityScore
P02304,Q16514,,6883,,ENSG00000120656,,TAF12,biochemical|comigration in non denaturing gel electrophoresis,physical interaction,8598932,small scale,0.3
P02304,Q16594,,6880,,ENSG00000273841,,TAF9,biochemical|comigration in non denaturing gel electrophoresis,physical interaction,8598932,small scale,0.3
P20226,P21675,6908,6872,ENSG00000112592,ENSG00000147133,TBP,TAF1,two hybrid|anti bait coimmunoprecipitation|far western blotting|experimental interaction detection,physical interaction|physical association|direct interaction,DIP-383S|7680771,small scale,0.58
P02549,P11277,6708,6710,ENSG00000163554,ENSG00000070182,SPTA1,SPTB,experimental interaction detection,physical interaction,8226774,small scale,0.13
P49848,Q16594,6878,6880,ENSG00000106290,ENSG00000273841,TAF6,TAF9,biochemical|comigration in non denaturing gel electrophoresis|pull down,physical interaction|physical association,7597030|23292512,small scale,0.52
Q00403,Q16594,2959,6880,ENSG00000137947,ENSG00000273841,GTF2B,TAF9,comigration in non denaturing gel electrophoresis|biochemical,physical interaction,7597030,small scale,0.3
P20226,Q15572,6908,9013,ENSG00000112592,ENSG00000103168,TBP,TAF1C,biochemical|coimmunoprecipitation,physical interaction,7801130,small scale,0.3
P08047,Q00403,6667,2959,ENSG00000185591,ENSG00000137947,SP1,GTF2B,experimental interaction detection,physical interaction,7824954,small scale,0.13
P25490,Q00403,7528,2959,ENSG00000100811,ENSG00000137947,YY1,GTF2B,experimental interaction detection,physical interaction,7824954,small scale,0.13
P04637,Q16594,7157,6880,ENSG00000141510,ENSG00000273841,TP53,TAF9,coimmunoprecipitation|molecular sieving,physical interaction,11278372|7809597,small scale,0.37
P04637,P49848,7157,6878,ENSG00000141510,ENSG00000106290,TP53,TAF6,molecular sieving,physical interaction,7809597,small scale,0.25
P08047,P25490,6667,7528,ENSG00000185591,ENSG00000100811,SP1,YY1,molecular sieving|comigration in non denaturing gel electrophoresis|experimental interaction detection,physical interaction,8327494,small scale,0.31
P06400,P32519,5925,1997,ENSG00000139687,ENSG00000120690,RB1,ELF1,coimmunoprecipitation|biochemical|molecular sieving,physical interaction,8493578,small scale,0.33
P06400,P29374,5925,5926,ENSG00000139687,ENSG00000032219,RB1,ARID4A,biochemical,physical interaction,8414517,small scale,0.25
P06400,Q13029,5925,7799,ENSG00000139687,ENSG00000116731,RB1,PRDM2,biochemical|coimmunoprecipitation|two hybrid,physical interaction,7538672,small scale,0.32
Q15543,Q15544,6884,6882,ENSG00000197780,ENSG00000064995,TAF13,TAF11,coimmunoprecipitation|molecular sieving,physical interaction,7729427,small scale,0.3
P20226,Q15544,6908,6882,ENSG00000112592,ENSG00000064995,TBP,TAF11,coimmunoprecipitation|molecular sieving,physical interaction,7729427,small scale,0.3
P20226,Q15543,6908,6884,ENSG00000112592,ENSG00000197780,TBP,TAF13,molecular sieving|coimmunoprecipitation,physical interaction,7729427,small scale,0.3
Q12962,Q15543,6881,6884,ENSG00000166337,ENSG00000197780,TAF10,TAF13,coimmunoprecipitation|molecular sieving|anti bait coimmunoprecipitation,physical interaction|physical association,7729427|23292512,small scale,0.52
P20226,Q16514,6908,6883,ENSG00000112592,ENSG00000120656,TBP,TAF12,molecular sieving|coimmunoprecipitation,physical interaction,7729427,small scale,0.3
Q15544,Q16514,6882,6883,ENSG00000064995,ENSG00000120656,TAF11,TAF12,coimmunoprecipitation|molecular sieving,physical interaction,7729427,small scale,0.3
Q12962,Q16514,6881,6883,ENSG00000166337,ENSG00000120656,TAF10,TAF12,coimmunoprecipitation|molecular sieving,physical interaction,7729427,small scale,0.3
P06127,Q8NEB9,921,5289,ENSG00000110448,ENSG00000078142,CD5,PIK3C3,experimental interaction detection,physical interaction,9079809,small scale,0.13
P06127,Q00839,921,3192,ENSG00000110448,ENSG00000153187,CD5,HNRNPU,experimental interaction detection,physical interaction,9079809,small scale,0.13
P06127,P06239,921,3932,ENSG00000110448,ENSG00000182866,CD5,LCK,biochemical|coimmunoprecipitation,physical interaction,7513045,small scale,0.3
P01112,Q13671,3265,9610,ENSG00000174775,ENSG00000174791,HRAS,RIN1,biochemical|two hybrid|coimmunoprecipitation|genetic interference|nuclear magnetic resonance,physical interaction|genetic interference|direct interaction,9144171|24441586,small scale,0.57
P42684,Q13671,27,9610,ENSG00000143322,ENSG00000174791,ABL2,RIN1,biochemical|coimmunoprecipitation,physical interaction,9144171,small scale,0.3
P16333,P42768,4690,7454,ENSG00000158092,ENSG00000015285,NCK1,WAS,experimental interaction detection,physical interaction,7565724,small scale,0.13
P20827,P29317,1942,1969,ENSG00000169242,ENSG00000142627,EFNA1,EPHA2,molecular sieving|x-ray crystallography|anti tag coimmunoprecipitation,physical interaction|direct interaction|physical association,8139691|20505120|22244754,small scale,0.63
Q13158,Q15628,8772,8717,ENSG00000168040,ENSG00000102871,FADD,TRADD,anti tag coimmunoprecipitation|experimental interaction detection,physical association|physical interaction,23955153|8565075,small scale,0.44
P25445,Q13158,355,8772,ENSG00000026103,ENSG00000168040,FAS,FADD,pull down|electron tomography|transmission electron microscopy|two hybrid|molecular sieving|fluorescent resonance energy transfer|cosedimentation in solution|x-ray crystallography|mass spectrometry studies of complexes|light scattering|anti bait coimmunoprecipitation,physical association|direct interaction|physical interaction,20935634|19118384|7538907|21713032|26942442,small scale,0.76
P00533,Q13596,1956,6642,ENSG00000146648,ENSG00000028528,EGFR,SNX1,two hybrid,physical interaction,8638121,small scale,0.22
P25445,Q13546,355,8737,ENSG00000026103,ENSG00000137275,FAS,RIPK1,two hybrid,physical interaction,7538908,small scale,0.22
P19438,Q13546,7132,8737,ENSG00000067182,ENSG00000137275,TNFRSF1A,RIPK1,two hybrid,physical interaction,7538908,small scale,0.22
Q13546,Q15628,8737,8717,ENSG00000137275,ENSG00000102871,RIPK1,TRADD,experimental interaction detection,physical interaction,8612133,small scale,0.13
P14778,P51617,3554,3654,ENSG00000115594,ENSG00000184216,IL1R1,IRAK1,experimental interaction detection|coimmunoprecipitation,physical interaction,8599092,small scale,0.25
P13747,P27797,3133,811,ENSG00000204592,ENSG00000179218,HLA-E,CALR,coimmunoprecipitation,physical interaction,9427624,small scale,0.25
P14859,P20226,5451,6908,ENSG00000143190,ENSG00000112592,POU2F1,TBP,coimmunoprecipitation|biochemical,physical interaction,8202368,small scale,0.3
P09661,Q12874,6627,10946,ENSG00000131876,ENSG00000183431,SNRPA1,SF3A3,comigration in non denaturing gel electrophoresis,physical interaction,8211112,small scale,0.25
P05783,P22681,3875,867,ENSG00000111057,ENSG00000110395,KRT18,CBL,two hybrid,physical interaction,9367879,small scale,0.22
P22681,Q12965,867,4643,ENSG00000110395,ENSG00000157483,CBL,MYO1E,two hybrid,physical interaction,9367879,small scale,0.22
P15498,P22681,7409,867,ENSG00000141968,ENSG00000110395,VAV1,CBL,genetic interference,genetic interference,9200440,small scale,0.13
P22681,P62993,867,2885,ENSG00000110395,ENSG00000177885,CBL,GRB2,experimental interaction detection,physical interaction,8950973,small scale,0.13
P22681,P27986,867,5295,ENSG00000110395,ENSG00000145675,CBL,PIK3R1,experimental interaction detection,physical interaction,9178909,small scale,0.13
P06213,P35568,3643,3667,ENSG00000171105,ENSG00000169047,INSR,IRS1,two hybrid|biochemical|anti bait coimmunoprecipitation,physical interaction|physical association,7935368|17167487,small scale,0.51
P04899,P81274,2771,29899,ENSG00000114353,ENSG00000121957,GNAI2,GPSM2,biochemical|two hybrid,physical interaction,7589456,small scale,0.29
P08069,P29353,3480,6464,ENSG00000140443,ENSG00000160691,IGF1R,SHC1,two hybrid,physical interaction,7559507,small scale,0.22
P06213,P29353,3643,6464,ENSG00000171105,ENSG00000160691,INSR,SHC1,two hybrid,physical interaction,7559507,small scale,0.22
P08069,P27986,3480,5295,ENSG00000140443,ENSG00000145675,IGF1R,PIK3R1,two hybrid,physical interaction,7589433,small scale,0.22
P01112,P15056,3265,673,ENSG00000174775,ENSG00000157764,HRAS,BRAF,nuclear magnetic resonance|static light scattering|molecular sieving|two hybrid,direct interaction|physical interaction,26165597|24441586|8668348,small scale,0.61
P01112,P04049,3265,5894,ENSG00000174775,ENSG00000132155,HRAS,RAF1,x-ray crystallography|molecular sieving|anti bait coimmunoprecipitation|coimmunoprecipitation|anti tag coimmunoprecipitation|pull down|fluorescent resonance energy transfer,direct interaction|physical association|physical interaction,25684575|18073111|24929361|9261098|20133694|20080631,small scale,0.77
P14598,P19878,653361,4688,ENSG00000158517,ENSG00000116701,NCF1,NCF2,two hybrid,physical interaction,8676437,small scale,0.22
P30304,P31946,993,7529,ENSG00000164045,ENSG00000166913,CDC25A,YWHAB,two hybrid,physical interaction,7644510,small scale,0.22
P30304,P42655,993,,ENSG00000164045,,CDC25A,,two hybrid,physical interaction,7644510,small scale,0.22
P30305,P31946,994,7529,ENSG00000101224,ENSG00000166913,CDC25B,YWHAB,two hybrid,physical interaction,7644510,small scale,0.22
P04049,Q6FHM2,5894,,ENSG00000132155,,RAF1,,two hybrid|biochemical,physical interaction,7782277,small scale,0.29
P04049,P63104,5894,7534,ENSG00000132155,ENSG00000164924,RAF1,YWHAZ,two hybrid,physical interaction,7935795,small scale,0.22
Q13424,Q14205,6640,,ENSG00000101400,,SNTA1,,two hybrid,physical interaction,8612778,small scale,0.22
Q13884,Q14205,6641,,ENSG00000172164,,SNTB1,,coimmunoprecipitation,physical interaction,7844150,small scale,0.25
P46939,Q13884,7402,6641,ENSG00000152818,ENSG00000172164,UTRN,SNTB1,coimmunoprecipitation,physical interaction,7844150,small scale,0.25
P02593,P17677,,2596,,ENSG00000172020,,GAP43,two hybrid,physical interaction,8872303,small scale,0.22
Q14186,Q14209,7027,1870,ENSG00000198176,ENSG00000007968,TFDP1,E2F2,experimental interaction detection|comigration in non denaturing gel electrophoresis,physical interaction,8657117|7739537,small scale,0.32
Q14188,Q14209,7029,1870,ENSG00000114126,ENSG00000007968,TFDP2,E2F2,comigration in non denaturing gel electrophoresis,physical interaction,7739537,small scale,0.25
P06400,Q14209,5925,1870,ENSG00000139687,ENSG00000007968,RB1,E2F2,comigration in non denaturing gel electrophoresis|coimmunoprecipitation,physical interaction,7739537|8657117,small scale,0.37
P04637,Q09472,7157,2033,ENSG00000141510,ENSG00000100393,TP53,EP300,isothermal titration calorimetry|anti tag coimmunoprecipitation|classical fluorescence spectroscopy|nuclear magnetic resonance|molecular sieving|x ray scattering|anti bait coimmunoprecipitation,direct interaction|physical association|physical interaction,19217391|19234109|17438265|11070080|18391200|25651062|26302407,small scale,0.77
P06400,P21675,5925,6872,ENSG00000139687,ENSG00000147133,RB1,TAF1,experimental interaction detection|coimmunoprecipitation|molecular sieving|two hybrid,physical interaction,7724524,small scale,0.33
P10243,Q92793,4603,1387,ENSG00000185697,ENSG00000005339,MYBL1,CREBBP,experimental interaction detection,physical interaction,9210395,small scale,0.13
P10415,Q07820,596,4170,ENSG00000171791,ENSG00000143384,BCL2,MCL1,two hybrid,physical interaction,7937747,small scale,0.22
P30305,P42655,994,,ENSG00000101224,,CDC25B,,two hybrid,physical interaction,7644510,small scale,0.22
P16220,Q92793,1385,1387,ENSG00000118260,ENSG00000005339,CREB1,CREBBP,pull down|experimental interaction detection,physical association|physical interaction,16799563|7913207,small scale,0.44
P17947,P49716,6688,1052,ENSG00000066336,ENSG00000221869,SPI1,CEBPD,biochemical|biophysical,physical interaction,7594592,small scale,0.3
P19438,Q13158,7132,8772,ENSG00000067182,ENSG00000168040,TNFRSF1A,FADD,experimental interaction detection,physical interaction,9129204,small scale,0.13
P00533,P62993,1956,2885,ENSG00000146648,ENSG00000177885,EGFR,GRB2,biochemical,physical interaction,1322798,small scale,0.25
P13747,Q03519,3133,6891,ENSG00000204592,ENSG00000204267,HLA-E,TAP2,coimmunoprecipitation,physical interaction,9427624,small scale,0.25
P10721,P62993,3815,2885,ENSG00000157404,ENSG00000177885,KIT,GRB2,coimmunoprecipitation,physical interaction,8950973,small scale,0.25
P46939,Q13424,7402,6640,ENSG00000152818,ENSG00000101400,UTRN,SNTA1,coimmunoprecipitation,physical interaction,8576247,small scale,0.25
P11831,P35269,6722,2962,ENSG00000112658,ENSG00000125651,SRF,GTF2F1,two hybrid,direct interaction,7854423,small scale,0.37
P13647,P15924,3852,1832,ENSG00000186081,ENSG00000096696,KRT5,DSP,experimental interaction detection|biophysical,physical interaction,7525601,small scale,0.25
P08631,Q03405,3055,5329,ENSG00000101336,ENSG00000011422,HCK,PLAUR,coimmunoprecipitation,physical interaction,9417082,small scale,0.25
P16520,P63211,2784,2792,ENSG00000111664,ENSG00000127928,GNB3,GNGT1,two hybrid,physical interaction,8636150,small scale,0.22
P19447,Q13889,2071,2967,ENSG00000163161,ENSG00000111358,ERCC3,GTF2H3,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P05556,P56199,3688,3672,ENSG00000150093,ENSG00000213949,ITGB1,ITGA1,biophysical,physical interaction,8846021,small scale,0.25
P08107,P10809,,3329,,ENSG00000144381,,HSPD1,biochemical,physical interaction,8776728,small scale,0.25
P06493,Q16667,983,1033,ENSG00000170312,ENSG00000100526,CDK1,CDKN3,genetic interference,genetic interference,8242750,small scale,0.13
P04141,P32927,1437,1439,ENSG00000164400,ENSG00000100368,CSF2,CSF2RB,biochemical|cross-linking study|experimental interaction detection,physical interaction|direct interaction,7957082|1702217,small scale,0.52
P05556,P17301,3688,3673,ENSG00000150093,ENSG00000164171,ITGB1,ITGA2,biophysical,physical interaction,8846021,small scale,0.25
P06400,Q14186,5925,7027,ENSG00000139687,ENSG00000198176,RB1,TFDP1,coimmunoprecipitation,physical interaction,7739537,small scale,0.25
P28749,Q14186,5933,7027,ENSG00000080839,ENSG00000198176,RBL1,TFDP1,coimmunoprecipitation,physical interaction,7739537,small scale,0.25
P06400,Q14188,5925,7029,ENSG00000139687,ENSG00000114126,RB1,TFDP2,coimmunoprecipitation,physical interaction,7739537,small scale,0.25
P28749,Q14188,5933,7029,ENSG00000080839,ENSG00000114126,RBL1,TFDP2,coimmunoprecipitation,physical interaction,7739537,small scale,0.25
P07948,P22681,4067,867,ENSG00000254087,ENSG00000110395,LYN,CBL,two hybrid,physical interaction,9160881,small scale,0.22
P05787,P15924,3856,1832,ENSG00000170421,ENSG00000096696,KRT8,DSP,two hybrid,physical interaction,9261168,small scale,0.22
P05783,P05787,3875,3856,ENSG00000111057,ENSG00000170421,KRT18,KRT8,two hybrid,physical interaction,8576158,small scale,0.22
P15173,P15923,4656,6929,ENSG00000122180,ENSG00000071564,MYOG,TCF3,two hybrid,physical interaction,1325437,small scale,0.22
P12931,P20248,6714,890,ENSG00000197122,ENSG00000145386,SRC,CCNA2,biophysical,physical interaction,8479754,small scale,0.25
P12931,P24385,6714,595,ENSG00000197122,ENSG00000110092,SRC,CCND1,biophysical,physical interaction,8479754,small scale,0.25
P24385,P61024,595,1163,ENSG00000110092,ENSG00000173207,CCND1,CKS1B,biophysical,physical interaction,8479754,small scale,0.25
P06493,P24385,983,595,ENSG00000170312,ENSG00000110092,CDK1,CCND1,coimmunoprecipitation,physical interaction,8479754,small scale,0.25
P24385,P24941,595,1017,ENSG00000110092,ENSG00000123374,CCND1,CDK2,coimmunoprecipitation,physical interaction,8479754,small scale,0.25
P20248,P24941,890,1017,ENSG00000145386,ENSG00000123374,CCNA2,CDK2,pull down|x-ray crystallography|coimmunoprecipitation,direct interaction|physical interaction,24358021|10559988|7630397|10930425,small scale,0.63
P11802,Q96TE0,1019,,ENSG00000135446,,CDK4,,coimmunoprecipitation,physical interaction,8822197,small scale,0.25
Q00534,Q96TE0,1021,,ENSG00000105810,,CDK6,,coimmunoprecipitation,physical interaction,8822197,small scale,0.25
P06400,Q00534,5925,1021,ENSG00000139687,ENSG00000105810,RB1,CDK6,coimmunoprecipitation,physical interaction,8822197,small scale,0.25
P11802,P30279,1019,894,ENSG00000135446,ENSG00000118971,CDK4,CCND2,coimmunoprecipitation,physical interaction,9325318,small scale,0.25
P30279,Q96TE0,894,,ENSG00000118971,,CCND2,,coimmunoprecipitation|biophysical,physical interaction,9325318,small scale,0.3
P05412,P20226,3725,6908,ENSG00000177606,ENSG00000112592,JUN,TBP,coimmunoprecipitation|biochemical,physical interaction,7685215,small scale,0.3
P11166,P27824,6513,821,ENSG00000117394,ENSG00000127022,SLC2A1,CANX,coimmunoprecipitation,physical interaction,8662691,small scale,0.25
P11166,P27797,6513,811,ENSG00000117394,ENSG00000179218,SLC2A1,CALR,coimmunoprecipitation,physical interaction,8662691,small scale,0.25
P27037,Q04771,92,90,ENSG00000121989,ENSG00000115170,ACVR2A,ACVR1,coimmunoprecipitation,physical interaction,8612709,small scale,0.25
P27037,P36896,92,91,ENSG00000121989,ENSG00000135503,ACVR2A,ACVR1B,coimmunoprecipitation,physical interaction,8612709,small scale,0.25
P17252,P24588,5578,9495,ENSG00000154229,ENSG00000179841,PRKCA,AKAP5,coimmunoprecipitation|experimental interaction detection,physical interaction,8599116,small scale,0.25
P23458,P40189,3716,3572,ENSG00000162434,ENSG00000134352,JAK1,IL6ST,experimental interaction detection|ion exchange chromatography|molecular sieving|transmission electron microscopy|coimmunoprecipitation,physical interaction|association|physical association,9388212|21220115,small scale,0.56
P29597,P40189,7297,3572,ENSG00000105397,ENSG00000134352,TYK2,IL6ST,coimmunoprecipitation|experimental interaction detection,physical interaction,9388212,small scale,0.25
P17181,P23458,3454,3716,ENSG00000142166,ENSG00000162434,IFNAR1,JAK1,genetic interference|biochemical|two hybrid,genetic interference|physical interaction,9334213,small scale,0.31
P01111,P04049,4893,5894,ENSG00000213281,ENSG00000132155,NRAS,RAF1,pull down|fluorescent resonance energy transfer|anti tag coimmunoprecipitation|experimental interaction detection,physical association|direct interaction|physical interaction,18641128|20080631|21478863|8876196,small scale,0.67
P23458,Q03405,3716,5329,ENSG00000162434,ENSG00000011422,JAK1,PLAUR,coimmunoprecipitation,physical interaction,9417082,small scale,0.25
P29597,Q03405,7297,5329,ENSG00000105397,ENSG00000011422,TYK2,PLAUR,coimmunoprecipitation,physical interaction,9417082,small scale,0.25
P05113,P32927,3567,1439,ENSG00000113525,ENSG00000100368,IL5,CSF2RB,biochemical|experimental interaction detection,physical interaction,7957082,small scale,0.25
P08700,P32927,3562,1439,ENSG00000164399,ENSG00000100368,IL3,CSF2RB,biochemical|experimental interaction detection,physical interaction,7957082,small scale,0.25
P04141,P15509,1437,1438,ENSG00000164400,ENSG00000198223,CSF2,CSF2RA,biochemical|molecular sieving|x-ray crystallography|experimental interaction detection,physical interaction|direct interaction,7957082|27396825|2555171,small scale,0.6
P19838,Q01094,4790,1869,ENSG00000109320,ENSG00000101412,NFKB1,E2F1,molecular sieving|comigration in non denaturing gel electrophoresis|coimmunoprecipitation|experimental interaction detection,physical interaction,9368006,small scale,0.33
P17181,P29597,3454,7297,ENSG00000142166,ENSG00000105397,IFNAR1,TYK2,pull down|experimental interaction detection|molecular sieving,direct interaction|physical interaction,24704786|7526154,small scale,0.52
P62873,P63211,2782,2792,ENSG00000078369,ENSG00000127928,GNB1,GNGT1,two hybrid,physical interaction,8636150,small scale,0.22
P63211,Q6FHM2,2792,,ENSG00000127928,,GNGT1,,two hybrid,physical interaction,8636150,small scale,0.22
P00813,P27487,100,1803,ENSG00000196839,ENSG00000197635,ADA,DPP4,electron microscopy,physical interaction,8568233,small scale,0.18
P08575,P27487,5788,1803,ENSG00000081237,ENSG00000197635,PTPRC,DPP4,coimmunoprecipitation,physical interaction,1680916,small scale,0.25
P18074,P19447,2068,2071,ENSG00000104884,ENSG00000163161,ERCC2,ERCC3,coimmunoprecipitation|anti tag coimmunoprecipitation,physical interaction|direct interaction,8652557|16669699,small scale,0.52
P19447,P32780,2071,2965,ENSG00000163161,ENSG00000110768,ERCC3,GTF2H1,coimmunoprecipitation|two hybrid,physical interaction,8652557,small scale,0.29
P19447,Q13888,2071,2966,ENSG00000163161,ENSG00000145736,ERCC3,GTF2H2,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P18074,P32780,2068,2965,ENSG00000104884,ENSG00000110768,ERCC2,GTF2H1,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P18074,Q13888,2068,2966,ENSG00000104884,ENSG00000145736,ERCC2,GTF2H2,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P18074,Q13889,2068,2967,ENSG00000104884,ENSG00000111358,ERCC2,GTF2H3,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
Q13888,Q13889,2966,2967,ENSG00000145736,ENSG00000111358,GTF2H2,GTF2H3,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P32780,Q13888,2965,2966,ENSG00000110768,ENSG00000145736,GTF2H1,GTF2H2,two hybrid,physical interaction,8652557,small scale,0.22
P19447,P28715,2071,2073,ENSG00000163161,ENSG00000134899,ERCC3,ERCC5,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P28715,P32780,2073,2965,ENSG00000134899,ENSG00000110768,ERCC5,GTF2H1,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P18074,P28715,2068,2073,ENSG00000104884,ENSG00000134899,ERCC2,ERCC5,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
P28715,Q13888,2073,2966,ENSG00000134899,ENSG00000145736,ERCC5,GTF2H2,coimmunoprecipitation,physical interaction,8652557,small scale,0.25
Q03468,Q13216,2074,1161,ENSG00000225830,ENSG00000049167,ERCC6,ERCC8,coimmunoprecipitation,physical interaction,7664335,small scale,0.25
Q13216,Q13888,1161,2966,ENSG00000049167,ENSG00000145736,ERCC8,GTF2H2,coimmunoprecipitation,physical interaction,7664335,small scale,0.25
P20226,Q16533,6908,6617,ENSG00000112592,ENSG00000023608,TBP,SNAPC1,biophysical,physical interaction,8524284,small scale,0.25
P20226,Q13487,6908,6618,ENSG00000112592,ENSG00000104976,TBP,SNAPC2,biophysical,physical interaction,8524284,small scale,0.25
P02766,P05067,7276,351,ENSG00000118271,ENSG00000142192,TTR,APP,coimmunoprecipitation,physical interaction,8915609,small scale,0.25
P02675,P27797,2244,811,ENSG00000171564,ENSG00000179218,FGB,CALR,coimmunoprecipitation|biophysical,physical interaction,7592883,small scale,0.3
P12830,P28827,999,5797,ENSG00000039068,ENSG00000173482,CDH1,PTPRM,biochemical,physical interaction,7642713,small scale,0.25
P19138,P67870,,1460,,ENSG00000204435,,CSNK2B,two hybrid,physical interaction,7768894,small scale,0.22
P05231,P40189,3569,3572,ENSG00000136244,ENSG00000134352,IL6,IL6ST,x-ray crystallography|biophysical,direct interaction|physical interaction,11251120|7744001,small scale,0.52
P05231,P08887,3569,3570,ENSG00000136244,ENSG00000160712,IL6,IL6R,affinity chromatography technology|biochemical|coimmunoprecipitation,physical interaction,9028955|7744001|9694899,small scale,0.44
P01579,P15260,3458,3459,ENSG00000111537,ENSG00000027697,IFNG,IFNGR1,x-ray crystallography,direct interaction,7617032|10860730,small scale,0.46
P06400,P17480,5925,7343,ENSG00000139687,ENSG00000108312,RB1,UBTF,anti bait coimmunoprecipitation,physical association,7877691,small scale,0.37
P07948,P43405,4067,6850,ENSG00000254087,ENSG00000165025,LYN,SYK,coimmunoprecipitation,physical interaction,7831290,small scale,0.25
P19174,P43405,5335,6850,ENSG00000124181,ENSG00000165025,PLCG1,SYK,coimmunoprecipitation,physical interaction,7831290,small scale,0.25
P19174,Q00839,5335,3192,ENSG00000124181,ENSG00000153187,PLCG1,HNRNPU,coimmunoprecipitation,physical interaction,7831290,small scale,0.25
P05106,P08514,3690,3674,ENSG00000259207,ENSG00000005961,ITGB3,ITGA2B,pull down|coimmunoprecipitation|nuclear magnetic resonance|surface plasmon resonance,physical association|physical interaction|direct interaction,25849143|7531639|22178926|19805198,small scale,0.69
