uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,author,reliabilityScore
O00560,Q6PIU1,6386,27012,ENSG00000137575,ENSG00000164794,SDCBP,KCNV1,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q15223,6386,5818,ENSG00000137575,ENSG00000110400,SDCBP,NECTIN1,phage display|surface plasmon resonance|anti bait coimmunoprecipitation|fluorescence microscopy|two hybrid,direct interaction|physical association|colocalization,26787460,Garrido-Urbani et al. (2016),0.56
O00560,Q9C0B6,6386,57795,ENSG00000137575,ENSG00000198797,SDCBP,,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q9GZT9,6386,54583,ENSG00000137575,ENSG00000135766,SDCBP,EGLN1,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q8IXZ3,6386,221833,ENSG00000137575,ENSG00000164651,SDCBP,SP8,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,P51531,6386,6595,ENSG00000137575,ENSG00000080503,SDCBP,SMARCA2,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q8IZI9,6386,282617,ENSG00000137575,ENSG00000197110,SDCBP,IFNL3,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,P0C7X1,6386,729877,ENSG00000137575,ENSG00000274226,SDCBP,TBC1D3H,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q9NP58,6386,10058,ENSG00000137575,ENSG00000115657,SDCBP,ABCB6,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q9UHB7,6386,27125,ENSG00000137575,ENSG00000072364,SDCBP,AFF4,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q8WUI4,6386,51564,ENSG00000137575,ENSG00000061273,SDCBP,HDAC7,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q96DC9,6386,78990,ENSG00000137575,ENSG00000089723,SDCBP,OTUB2,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q99999,6386,9514,ENSG00000137575,ENSG00000128242,SDCBP,GAL3ST1,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,Q9NQS3,6386,25945,ENSG00000137575,ENSG00000177707,SDCBP,NECTIN3,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
O00560,O75170,6386,9701,ENSG00000137575,ENSG00000100239,SDCBP,PPP6R2,phage display,direct interaction,26787460,Garrido-Urbani et al. (2016),0.4
Q15223,Q9C0E4,5818,80852,ENSG00000110400,ENSG00000144596,NECTIN1,,two hybrid,physical association,26787460,Garrido-Urbani et al. (2016),0.34
Q15223,Q9NRD5,5818,9463,ENSG00000110400,ENSG00000100151,NECTIN1,PICK1,two hybrid,physical association,26787460,Garrido-Urbani et al. (2016),0.34
B7Z2Y1,Q14160,,23513,,ENSG00000180900,,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14155,Q14160,8874,23513,ENSG00000102606,ENSG00000180900,ARHGEF7,SCRIB,phage display|anti tag coimmunoprecipitation|fluorescence microscopy|pull down|anti bait coimmunoprecipitation,physical association|colocalization|association,24550280|15975580|21132015|19555689,Ivarsson et al. (2014)|Métais et al. (2005)|Puppo et al. (2011)|Arnaud et al. (2009),0.67
Q14160,Q7Z628,23513,10276,ENSG00000180900,ENSG00000173848,SCRIB,NET1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P22460,Q14160,3741,23513,ENSG00000130037,ENSG00000180900,KCNA5,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q96DN2,23513,220001,ENSG00000180900,ENSG00000167992,SCRIB,VWCE,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
O00429,Q14160,10059,23513,ENSG00000087470,ENSG00000180900,DNM1L,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q99569,23513,8502,ENSG00000180900,ENSG00000144283,SCRIB,PKP4,phage display|anti tag coimmunoprecipitation|fluorescence microscopy,physical association|colocalization,24550280,Ivarsson et al. (2014),0.47
Q14160,Q96DL1,23513,120406,ENSG00000180900,ENSG00000204361,SCRIB,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q9UQB3,23513,1501,ENSG00000180900,ENSG00000169862,SCRIB,CTNND2,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q9BR11,23513,90204,ENSG00000180900,ENSG00000168612,SCRIB,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q9ULI0,23513,54454,ENSG00000180900,ENSG00000119778,SCRIB,ATAD2B,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P25100,Q14160,146,23513,ENSG00000171873,ENSG00000180900,ADRA1D,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P53778,Q14160,6300,23513,ENSG00000188130,ENSG00000180900,MAPK12,SCRIB,phage display|anti tag coimmunoprecipitation|fluorescence microscopy,physical association|colocalization,24550280,Ivarsson et al. (2014),0.47
Q14160,Q9NYB5,23513,53919,ENSG00000180900,ENSG00000139155,SCRIB,SLCO1C1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q15311,23513,10928,ENSG00000180900,ENSG00000017797,SCRIB,RALBP1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P33402,Q14160,2977,23513,ENSG00000152402,ENSG00000180900,GUCY1A2,SCRIB,phage display|anti tag coimmunoprecipitation|fluorescence microscopy,physical association|colocalization,24550280,Ivarsson et al. (2014),0.47
Q14160,Q9P0K1,23513,53616,ENSG00000180900,ENSG00000008277,SCRIB,ADAM22,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q92953,23513,9312,ENSG00000180900,ENSG00000182674,SCRIB,KCNB2,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
O15439,Q14160,10257,23513,ENSG00000125257,ENSG00000180900,ABCC4,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P35222,Q14160,1499,23513,ENSG00000168036,ENSG00000180900,CTNNB1,SCRIB,phage display|fluorescence microscopy,physical association|colocalization,24550280,Ivarsson et al. (2014),0.42
P48065,Q14160,6539,23513,ENSG00000111181,ENSG00000180900,SLC6A12,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P08581,Q14160,4233,23513,ENSG00000105976,ENSG00000180900,MET,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q6UY11,23513,65989,ENSG00000180900,ENSG00000171462,SCRIB,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q9ULJ7,23513,57182,ENSG00000180900,ENSG00000151458,SCRIB,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
A6NIM6,Q14160,729025,23513,ENSG00000188991,ENSG00000180900,,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P81408,Q14160,10712,23513,ENSG00000160767,ENSG00000180900,,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q9NQG5,23513,58490,ENSG00000180900,ENSG00000101413,SCRIB,RPRD1B,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q6UXZ0,23513,388364,ENSG00000180900,ENSG00000182271,SCRIB,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q92502,23513,9754,ENSG00000180900,ENSG00000130052,SCRIB,STARD8,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q8TA94,23513,147837,ENSG00000180900,ENSG00000188868,SCRIB,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q9Y6R1,23513,8671,ENSG00000180900,ENSG00000080493,SCRIB,SLC4A4,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q9Y466,23513,7101,ENSG00000180900,ENSG00000112333,SCRIB,NR2E1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q8TBB1,23513,84708,ENSG00000180900,ENSG00000072201,SCRIB,LNX1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P22460,Q12959,3741,1739,ENSG00000130037,ENSG00000075711,KCNA5,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q9UQB3,1739,1501,ENSG00000075711,ENSG00000169862,DLG1,CTNND2,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q96DL1,1739,120406,ENSG00000075711,ENSG00000204361,DLG1,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q15311,1739,10928,ENSG00000075711,ENSG00000017797,DLG1,RALBP1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q96A65,1739,60412,ENSG00000075711,ENSG00000131558,DLG1,EXOC4,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q6ZTQ3,1739,166824,ENSG00000075711,ENSG00000169435,DLG1,RASSF6,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q14CM0,1739,9758,ENSG00000075711,ENSG00000169933,DLG1,FRMPD4,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q9NYB5,1739,53919,ENSG00000075711,ENSG00000139155,DLG1,SLCO1C1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q14524,1739,6331,ENSG00000075711,ENSG00000183873,DLG1,SCN5A,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q13224,1739,2904,ENSG00000075711,ENSG00000273079,DLG1,GRIN2B,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P85299,Q12959,55615,1739,ENSG00000186654,ENSG00000075711,PRR5,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q9NVW2,1739,51132,ENSG00000075711,ENSG00000131263,DLG1,RLIM,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q99569,1739,8502,ENSG00000075711,ENSG00000144283,DLG1,PKP4,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q6DN90,1739,9922,ENSG00000075711,ENSG00000144711,DLG1,IQSEC1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q86W11,1739,100101467,ENSG00000075711,ENSG00000186814,DLG1,,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
A1L4L8,Q12959,153770,1739,ENSG00000173261,ENSG00000075711,,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q15303,1739,2066,ENSG00000075711,ENSG00000178568,DLG1,ERBB4,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q96GG9,1739,54165,ENSG00000075711,ENSG00000043093,DLG1,DCUN1D1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q96GL9,1739,148753,ENSG00000075711,ENSG00000143340,DLG1,FAM163A,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q86UD3,1739,115123,ENSG00000075711,ENSG00000173926,DLG1,MARCHF3,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
O60333,Q12959,23095,1739,ENSG00000054523,ENSG00000075711,KIF1B,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
A1A5B4,Q12959,338440,1739,ENSG00000185101,ENSG00000075711,,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q7Z628,1739,10276,ENSG00000075711,ENSG00000173848,DLG1,NET1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P0C2L3,Q12959,642968,1739,ENSG00000196990,ENSG00000075711,,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q9NS75,1739,57105,ENSG00000075711,ENSG00000152207,DLG1,CYSLTR2,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q96SF7,1739,6913,ENSG00000075711,ENSG00000092607,DLG1,TBX15,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
B7Z2Y1,Q12959,,1739,,ENSG00000075711,,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q9P021,1739,9419,ENSG00000075711,ENSG00000119878,DLG1,CRIPT,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q96NW7,Q99569,,8502,,ENSG00000144283,,PKP4,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q96NW7,Q9UQB3,,1501,,ENSG00000169862,,CTNND2,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q96RT1,Q9UQB3,55914,1501,ENSG00000112851,ENSG00000169862,ERBIN,CTNND2,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q96RT1,Q99569,55914,8502,ENSG00000112851,ENSG00000144283,ERBIN,PKP4,phage display|anti bait coimmunoprecipitation|fluorescence microscopy,physical association|colocalization,24550280|12047349,Ivarsson et al. (2014)|Izawa et al. (2002),0.53
O00192,Q96RT1,421,55914,ENSG00000099889,ENSG00000112851,ARVCF,ERBIN,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q96RT1,Q9BY21,55914,53836,ENSG00000112851,ENSG00000138271,ERBIN,GPR87,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q96DL1,Q96RT1,120406,55914,ENSG00000204361,ENSG00000112851,,ERBIN,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q8NHY3,Q96RT1,246176,55914,ENSG00000270765,ENSG00000112851,GAS2L2,ERBIN,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q14160,Q14500,23513,3768,ENSG00000180900,ENSG00000184185,SCRIB,KCNJ12,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P48050,Q14160,3761,23513,ENSG00000168135,ENSG00000180900,KCNJ4,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P12814,Q14160,87,23513,ENSG00000072110,ENSG00000180900,ACTN1,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P35609,Q14160,88,23513,ENSG00000077522,ENSG00000180900,ACTN2,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q08043,Q14160,89,23513,ENSG00000248746,ENSG00000180900,ACTN3,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
O43707,Q14160,81,23513,ENSG00000130402,ENSG00000180900,ACTN4,SCRIB,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q8IWK6,1739,166647,ENSG00000075711,ENSG00000152990,DLG1,ADGRA3,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q86SQ6,1739,84435,ENSG00000075711,ENSG00000197177,DLG1,ADGRA1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q96PE1,1739,25960,ENSG00000075711,ENSG00000020181,DLG1,ADGRA2,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P22459,Q12959,3739,1739,ENSG00000182255,ENSG00000075711,KCNA4,DLG1,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
Q12959,Q14500,1739,3768,ENSG00000075711,ENSG00000184185,DLG1,KCNJ12,phage display,physical association,24550280,Ivarsson et al. (2014),0.37
P52735,Q9H3M7,7410,10628,ENSG00000160293,ENSG00000265972,VAV2,TXNIP,x-ray crystallography|isothermal titration calorimetry,direct interaction,26919541,Liu et al. (2016),0.46
P12931,Q9H3M7,6714,10628,ENSG00000197122,ENSG00000265972,SRC,TXNIP,isothermal titration calorimetry,direct interaction,26919541,Liu et al. (2016),0.4
O00429,Q9Y512,10059,25813,ENSG00000087470,ENSG00000100347,DNM1L,SAMM50,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association|direct interaction,27059175,Liu et al. (2016),0.5
P12814,P60709,87,60,ENSG00000072110,ENSG00000075624,ACTN1,ACTB,fluorescence microscopy|cosedimentation,colocalization,26879394,Murphy et al. (2016),0.34
P00533,P22681,1956,867,ENSG00000146648,ENSG00000110395,EGFR,CBL,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation|pull down|coimmunoprecipitation|x-ray crystallography|isothermal titration calorimetry|fluorescence microscopy,physical association|association|direct interaction|colocalization,27059931|16729043|15677445|8662998|23799367|15962011|18273061|16914641,Song et al. (2016)|Schulze et al. (2005)|Scott et al. (2005)|Fukazawa et al. (1996)|Sigismund et al. (2013)|Haglund et al. (2005)|Ng et al. (2008)|Martin et al. (2006),0.78
P00533,P62993,1956,2885,ENSG00000146648,ENSG00000177885,EGFR,GRB2,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation|pull down|coimmunoprecipitation|protein array|competition binding|surface plasmon resonance,physical association|association|direct interaction,27059931|16729043|7527043|16273093|7518560|11896612|10229072|23799367|8940013|9020117|23178716,Song et al. (2016)|Schulze et al. (2005)|Okutani et al. (1994)|Jones et al. (2006)|Batzer et al. (1994)|Saucier et al. (2002)|Wunderlich et al. (1999)|Sigismund et al. (2013)|Chook et al. (1996)|Emlet et al. (1997)|Kodigepalli et al. (2013),0.78
P54274,Q9Y5A7,7013,51667,ENSG00000147601,ENSG00000013374,TERF1,NUB1,two hybrid|pull down|anti tag coimmunoprecipitation|fluorescence microscopy|anti bait coimmunoprecipitation,physical association|direct interaction|colocalization,27214791,Jeong et al. (2016),0.56
P54274,Q96BK5,7013,54984,ENSG00000147601,ENSG00000254093,TERF1,PINX1,two hybrid|coimmunoprecipitation|pull down|fluorescence microscopy,physical association|direct interaction|colocalization,27214791|11701125,Jeong et al. (2016)|Zhou et al. (2001),0.6
Q15554,Q9NYB0,7014,54386,ENSG00000132604,ENSG00000166848,TERF2,TERF2IP,two hybrid|anti bait coimmunoprecipitation,physical association,27214791|21829167,Jeong et al. (2016)|Chawla et al. (2011),0.47
P16144,Q05397,3691,5747,ENSG00000132470,ENSG00000169398,ITGB4,PTK2,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,physical association,27178753,Tai et al. (2016),0.42
O60828,Q9Y2W2,10084,51729,ENSG00000102103,ENSG00000084463,PQBP1,WBP11,surface plasmon resonance,direct interaction,27314904,Mizuguchi et al. (2016),0.4
