uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,author,reliabilityScore
O43318,Q9Y4K3,6885,7189,ENSG00000135341,ENSG00000175104,MAP3K7,TRAF6,anti tag coimmunoprecipitation,physical association,10882101|11259596|14633987|10921914|16517750|11809792|12609980|19232515,Takaesu et al. (2000)|Takaesu et al. (2001)|Ishitani et al. (2003)|Mochida et al. (2000)|Hirata et al. (2006)|Mizukami et al. (2002)|Jiang et al. (2003)|Minoda et al. (2009),0.56
P08138,Q9Y4K3,4804,7189,ENSG00000064300,ENSG00000175104,NGFR,TRAF6,anti tag coimmunoprecipitation,physical association,11244088,Wooten et al. (2001),0.37
P21580,Q9Y4K3,7128,7189,ENSG00000118503,ENSG00000175104,TNFAIP3,TRAF6,anti tag coimmunoprecipitation,physical association,9928991|17703191|18239685,Heyninck et al. (1999)|Shembade et al. (2007)|Iha et al. (2008),0.47
Q9HAT8,Q9Y4K3,57161,7189,ENSG00000139946,ENSG00000175104,PELI2,TRAF6,anti tag coimmunoprecipitation,physical association,12804775,Jensen et al. (2003),0.37
Q9Y4K3,Q96FA3,7189,57162,ENSG00000175104,ENSG00000197329,TRAF6,PELI1,anti tag coimmunoprecipitation,physical association,12804775|16951688|12496252,Jensen et al. (2003)|Choi et al. (2006)|Jiang et al. (2003),0.47
O00206,P58753,7099,114609,ENSG00000136869,ENSG00000150455,TLR4,TIRAP,anti tag coimmunoprecipitation|gst pull down|two hybrid|affinity chromatography technology|mammalian protein protein interaction trap,physical association,14517278|11526399|12646618|11544529|19717524|21829704|21873236|21903422|22139835|24265315,Fitzgerald et al. (2003)|Horng et al. (2001)|Doyle et al. (2003)|Fitzgerald et al. (2001)|Kenny et al. (2009)|Sakaguchi et al. (2011)|Valkov et al. (2011)|Li et al. (2011)|Bovijn et al. (2011)|Alaidarous et al. (2014),0.65
P58753,Q99836,114609,4615,ENSG00000150455,ENSG00000172936,TIRAP,MYD88,anti tag coimmunoprecipitation|gst pull down|two hybrid|pull down,physical association,11526399|12888566|11544529|19506249|21873236|24265315|22673208,Horng et al. (2001)|Dunne et al. (2003)|Fitzgerald et al. (2001)|Ohnishi et al. (2009)|Valkov et al. (2011)|Alaidarous et al. (2014)|Nada et al. (2012),0.64
P22681,Q9Y4K3,867,7189,ENSG00000110395,ENSG00000175104,CBL,TRAF6,anti tag coimmunoprecipitation,physical association,11406619,Arron et al. (2001),0.37
Q9Y4K3,O14543,7189,9021,ENSG00000175104,ENSG00000184557,TRAF6,SOCS3,anti tag coimmunoprecipitation,physical association,16543409,Frobøse et al. (2006),0.37
P01112,Q9Y4K3,3265,7189,ENSG00000174775,ENSG00000175104,HRAS,TRAF6,anti tag coimmunoprecipitation,physical association,11744690,McDermott et al. (2002),0.37
Q02556,Q9Y4K3,3394,7189,ENSG00000140968,ENSG00000175104,IRF8,TRAF6,anti tag coimmunoprecipitation,physical association,16484229,Zhao et al. (2006),0.37
P49407,Q9Y4K3,408,7189,ENSG00000137486,ENSG00000175104,ARRB1,TRAF6,anti tag coimmunoprecipitation,physical association,16378096,Wang et al. (2006),0.37
P32121,Q9Y4K3,409,7189,ENSG00000141480,ENSG00000175104,ARRB2,TRAF6,anti tag coimmunoprecipitation,physical association,16378096,Wang et al. (2006),0.37
O43187,Q9Y4K3,3656,7189,ENSG00000134070,ENSG00000175104,IRAK2,TRAF6,anti tag coimmunoprecipitation|gst pull down|Split renilla luciferase complementation,physical association,9374458|10383454|12659850|21903422|24973222,Muzio et al. (1997)|Wesche et al. (1999)|Boch et al. (2003)|Li et al. (2011)|Wang et al. (2014),0.54
Q9UGP4,Q9Y4K3,8994,7189,ENSG00000144791,ENSG00000175104,LIMD1,TRAF6,gst pull down,physical association,17092936,Feng et al. (2007),0.25
P98170,P36896,331,91,ENSG00000101966,ENSG00000135503,XIAP,ACVR1B,anti tag coimmunoprecipitation,physical association,11356828,Birkey Reffey et al. (2001),0.37
Q15326,Q9Y4K3,10771,7189,ENSG00000015171,ENSG00000175104,ZMYND11,TRAF6,two hybrid|anti tag coimmunoprecipitation,physical association,16382137,Wan et al. (2006),0.41
O95999,Q9Y4K3,8915,7189,ENSG00000142867,ENSG00000175104,BCL10,TRAF6,anti tag coimmunoprecipitation,physical association,16920630,Bidère et al. (2006),0.37
Q01638,Q9NWZ3,9173,51135,ENSG00000115602,ENSG00000198001,IL1RL1,IRAK4,anti tag coimmunoprecipitation,physical association,16286016|12538665|15084582,Schmitz et al. (2005)|Burns et al. (2003)|Qin et al. (2004),0.47
Q9BUZ4,Q9Y4K3,9618,7189,ENSG00000076604,ENSG00000175104,TRAF4,TRAF6,anti tag coimmunoprecipitation|fluorescent resonance energy transfer,physical association,16052631,Takeshita et al. (2005),0.42
P14598,Q9NWZ3,653361,51135,ENSG00000158517,ENSG00000198001,NCF1,IRAK4,anti tag coimmunoprecipitation,physical association,17217339,Pacquelet et al. (2007),0.37
Q9Y4K3,P61088,7189,7334,ENSG00000175104,ENSG00000177889,TRAF6,UBE2N,two hybrid,physical association,15147900,Wooff et al. (2004),0.34
Q9BYM8,Q9Y4K3,10616,7189,ENSG00000125826,ENSG00000175104,RBCK1,TRAF6,anti tag coimmunoprecipitation,physical association,17449468,Tian et al. (2007),0.37
Q9C0K7,P98170,55437,331,ENSG00000082146,ENSG00000101966,STRADB,XIAP,two hybrid|gst pull down,physical association,12048196,Sanna et al. (2002),0.34
O60602,Q9NWZ3,7100,51135,ENSG00000187554,ENSG00000198001,TLR5,IRAK4,anti tag coimmunoprecipitation,physical association,17138965,Sun et al. (2007),0.37
P08575,Q9NWZ3,5788,51135,ENSG00000081237,ENSG00000198001,PTPRC,IRAK4,anti tag coimmunoprecipitation,physical association,16574867,Suzuki et al. (2006),0.37
P98170,O14727,331,317,ENSG00000101966,ENSG00000120868,XIAP,APAF1,gst pull down,physical association,11230124|12181739,Bratton et al. (2001)|Bratton et al. (2002),0.31
O15392,P98170,332,331,ENSG00000089685,ENSG00000101966,BIRC5,XIAP,anti tag coimmunoprecipitation|gst pull down,physical association,15218035|17613533,Dohi et al. (2004)|Arora et al. (2007),0.43
Q14790,Q9Y4K3,841,7189,ENSG00000064012,ENSG00000175104,CASP8,TRAF6,anti tag coimmunoprecipitation|gst pull down|fluorescent resonance energy transfer,physical association,16920630|16436380,Bidère et al. (2006)|He et al. (2006),0.49
,Q9Y4K3,,7189,ENSG00000134970,ENSG00000175104,,TRAF6,anti tag coimmunoprecipitation,physical association,12721283,Bin et al. (2003),0.37
P98170,O43318,331,6885,ENSG00000101966,ENSG00000135341,XIAP,MAP3K7,anti tag coimmunoprecipitation,physical association,12048196|11865055,Sanna et al. (2002),0.43
Q9C0K7,O43318,55437,6885,ENSG00000082146,ENSG00000135341,STRADB,MAP3K7,anti tag coimmunoprecipitation,physical association,12048196,Sanna et al. (2002),0.37
O43318,Q8N5C8,6885,257397,ENSG00000135341,ENSG00000157625,MAP3K7,TAB3,anti tag coimmunoprecipitation,physical association,14633987|17384642|17158449|14670075|21903422,Ishitani et al. (2003)|Hong et al. (2007)|Besse et al. (2007)|Cheung et al. (2004)|Li et al. (2011),0.54
O43318,Q9HAT8,6885,57161,ENSG00000135341,ENSG00000139946,MAP3K7,PELI2,anti tag coimmunoprecipitation,physical association,12804775|16831874,Jensen et al. (2003)|Dong et al. (2006),0.43
O43318,Q96FA3,6885,57162,ENSG00000135341,ENSG00000197329,MAP3K7,PELI1,anti tag coimmunoprecipitation,physical association,12804775,Jensen et al. (2003),0.37
O43318,Q99683,6885,4217,ENSG00000135341,ENSG00000197442,MAP3K7,MAP3K5,two hybrid|anti tag coimmunoprecipitation,physical association,10921914,Mochida et al. (2000),0.41
O43318,O14543,6885,9021,ENSG00000135341,ENSG00000184557,MAP3K7,SOCS3,anti tag coimmunoprecipitation,physical association,16543409,Frobøse et al. (2006),0.37
O43318,P01112,6885,3265,ENSG00000135341,ENSG00000174775,MAP3K7,HRAS,anti tag coimmunoprecipitation,physical association,11744690,McDermott et al. (2002),0.37
O43318,O95999,6885,8915,ENSG00000135341,ENSG00000142867,MAP3K7,BCL10,anti tag coimmunoprecipitation,physical association,16831874|17189706,Dong et al. (2006)|Blonska et al. (2007),0.43
O43318,Q99759,6885,4215,ENSG00000135341,ENSG00000198909,MAP3K7,MAP3K3,anti tag coimmunoprecipitation|two hybrid,physical association,16260783,Blonska et al. (2005),0.41
O14920,O43318,3551,6885,ENSG00000104365,ENSG00000135341,IKBKB,MAP3K7,anti tag coimmunoprecipitation|in-gel kinase assay,physical association|phosphorylation reaction,10187861|10807933|11460167,Sakurai et al. (1999)|Hofer-Warbinek et al. (2000)|Wang et al. (2001),0.53
O43318,O43541,6885,4091,ENSG00000135341,ENSG00000137834,MAP3K7,SMAD6,anti tag coimmunoprecipitation,physical association,11737269|10748100,Yanagisawa et al. (2001)|Kimura et al. (2000),0.43
P51668,P98170,7321,331,ENSG00000072401,ENSG00000101966,UBE2D1,XIAP,gst pull down,physical association,15218035,Dohi et al. (2004),0.25
Q12933,O43318,7186,6885,ENSG00000127191,ENSG00000135341,TRAF2,MAP3K7,anti tag coimmunoprecipitation,physical association,17384642|14633987,Hong et al. (2007)|Ishitani et al. (2003),0.43
O00463,O43318,7188,6885,ENSG00000082512,ENSG00000135341,TRAF5,MAP3K7,anti tag coimmunoprecipitation,physical association,17384642,Hong et al. (2007),0.37
Q9BYM8,O43318,10616,6885,ENSG00000125826,ENSG00000135341,RBCK1,MAP3K7,anti tag coimmunoprecipitation,physical association,17449468,Tian et al. (2007),0.37
O43318,Q9Y6Q6,6885,8792,ENSG00000135341,ENSG00000141655,MAP3K7,TNFRSF11A,anti tag coimmunoprecipitation,physical association,11809792,Mizukami et al. (2002),0.37
O43318,O14964,6885,9146,ENSG00000135341,ENSG00000185359,MAP3K7,HGS,anti tag coimmunoprecipitation,physical association,11397816,Sasaki et al. (2001),0.37
P52564,O43318,5608,6885,ENSG00000108984,ENSG00000135341,MAP2K6,MAP3K7,in-gel kinase assay|protein kinase assay,phosphorylation reaction,11460167|21220427,Wang et al. (2001)|Xiong et al. (2011),0.37
O43318,O75688,6885,5495,ENSG00000135341,ENSG00000138032,MAP3K7,PPM1B,in gel phosphatase assay|anti tag coimmunoprecipitation,dephosphorylation reaction|physical association,11104763,Hanada et al. (2001),0.43
Q92918,O43318,11184,6885,ENSG00000104814,ENSG00000135341,MAP4K1,MAP3K7,anti tag coimmunoprecipitation,physical association,10224067,Zhou et al. (1999),0.37
P38398,P98170,672,331,ENSG00000012048,ENSG00000101966,BRCA1,XIAP,anti tag coimmunoprecipitation|gst pull down,physical association,16322207,Martin et al. (2005),0.37
P45983,O43318,5599,6885,ENSG00000107643,ENSG00000135341,MAPK8,MAP3K7,anti tag coimmunoprecipitation,physical association,11865055,Sanna et al. (2002),0.37
O43734,O43318,10758,6885,ENSG00000056972,ENSG00000135341,TRAF3IP2,MAP3K7,anti tag coimmunoprecipitation,physical association,12089335|17277779,Qian et al. (2002)|Qian et al. (2007),0.43
O43318,Q9HC29,6885,64127,ENSG00000135341,ENSG00000167207,MAP3K7,NOD2,gst pull down|anti tag coimmunoprecipitation,physical association,17348859|15075345|17965022 ,Windheim et al. (2008)|Chen et al. (2004)|Kim et al. (2008),0.48
O43353,O43318,8767,6885,ENSG00000104312,ENSG00000135341,RIPK2,MAP3K7,anti tag coimmunoprecipitation,physical association,17348859|17965022 |18079694|17947236,Windheim et al. (2008)|Kim et al. (2008)|Hasegawa et al. (2008)|Yang et al. (2007),0.51
O43318,Q9UL54,6885,9344,ENSG00000135341,ENSG00000149930,MAP3K7,TAOK2,anti tag coimmunoprecipitation,physical association,16893890,Huangfu et al. (2006),0.37
O43318,Q7L7X3,6885,57551,ENSG00000135341,ENSG00000160551,MAP3K7,TAOK1,anti tag coimmunoprecipitation,physical association,16893890,Huangfu et al. (2006),0.37
Q9Y4K3,Q9NWZ3,7189,51135,ENSG00000175104,ENSG00000198001,TRAF6,IRAK4,anti tag coimmunoprecipitation,physical association,11960013,Li et al. (2002),0.37
P62380,Q9NWZ3,9519,51135,ENSG00000028839,ENSG00000198001,TBPL1,IRAK4,two hybrid,physical association,16169070,Stelzl et al. (2005),0.34
P98170,P42574,331,836,ENSG00000101966,ENSG00000164305,XIAP,CASP3,gst pull down|anti tag coimmunoprecipitation|affinity chromatography technology|x-ray crystallography|ubiquitination reaction|protease assay,physical association|ubiquitination reaction|protein cleavage,9545235|11230124|11927604|9525868|9230442|11447297|11359776|15200957|12181739|11157976|11257232|12529384|12874265|17069460|15014070|19559631,Deveraux et al. (1998)|Bratton et al. (2001)|Silke et al. (2002)|Takahashi et al. (1998)|Deveraux et al. (1997)|Suzuki et al. (2001)|Bartke et al. (2004)|Bratton et al. (2002)|Ekert et al. (2001)|Riedl et al. (2001)|Leverkus et al. (2003)|Kashkar et al. (2003)|Rajalingam et al. (2006)|Han et al. (2004)|Lüthi et al. (2009),0.68
Q06187,P58753,695,114609,ENSG00000010671,ENSG00000150455,BTK,TIRAP,anti tag coimmunoprecipitation|in-gel kinase assay|docking,physical association|phosphorylation reaction,16439361|24840642,Gray et al. (2006)|Paracha et al. (2014),0.49
P62837,P42574,7322,836,ENSG00000131508,ENSG00000164305,UBE2D2,CASP3,ubiquitination reaction,ubiquitination reaction,11447297,Suzuki et al. (2001),0.13
P29466,P58753,834,114609,ENSG00000137752,ENSG00000150455,CASP1,TIRAP,gst pull down|anti tag coimmunoprecipitation|two hybrid,physical association,17360653,Miggin et al. (2013),0.41
Q9Y4K3,P51617,7189,3654,ENSG00000175104,ENSG00000184216,TRAF6,IRAK1,anti tag coimmunoprecipitation|two hybrid,physical association,10383454|11960013|16024789|15894263|10920205|11259596|9374458|17197697|8837778|17785432|19716405|16951367|21220427|22033459,Wesche et al. (1999)|Li et al. (2002)|Rao et al. (2005)|Zhou et al. (2005)|Ling et al. (2000)|Takaesu et al. (2001)|Muzio et al. (1997)|Yao et al. (2007)|Cao et al. (1996)|Zhande et al. (2007)|Lee et al. (2009)|Alvarez et al. (2006)|Xiong et al. (2011)|Muroi et al. (2012),0.6
P98170,P55212,331,839,ENSG00000101966,ENSG00000138794,XIAP,CASP6,gst pull down|anti tag coimmunoprecipitation,physical association,9545235|15200957,Deveraux et al. (1998)|Bartke et al. (2004),0.43
P14778,Q9NPH3,3554,3556,ENSG00000115594,ENSG00000196083,IL1R1,IL1RAP,anti tag coimmunoprecipitation,physical association,9371760|9430229|15044087|15866876,Huang et al. (1997)|Wesche et al. (1997)|Reddy et al. (2004)|Qin et al. (2005),0.51
P51617,Q9NPH3,3654,3556,ENSG00000184216,ENSG00000196083,IRAK1,IL1RAP,anti tag coimmunoprecipitation,physical association,9371760|9374458|15044087,Huang et al. (1997)|Muzio et al. (1997)|Reddy et al. (2004),0.47
P98170,P55210,331,840,ENSG00000101966,ENSG00000165806,XIAP,CASP7,gst pull down|x-ray crystallography|anti tag coimmunoprecipitation|affinity chromatography technology|protease assay,physical association|protein cleavage,9545235|9230442|11359776|11257231|15200957|11257230|9525868|19559631,Deveraux et al. (1998)|Deveraux et al. (1997)|Suzuki et al. (2001)|Huang et al. (2001)|Bartke et al. (2004)|Chai et al. (2001)|Takahashi et al. (1998)|Lüthi et al. (2009),0.67
Q9BUZ4,P51617,9618,3654,ENSG00000076604,ENSG00000184216,TRAF4,IRAK1,anti tag coimmunoprecipitation,physical association,16052631,Takeshita et al. (2005),0.37
P27986,Q99836,5295,4615,ENSG00000145675,ENSG00000172936,PIK3R1,MYD88,anti tag coimmunoprecipitation,physical association,16644730,Rhee et al. (2006),0.37
O43187,Q99836,3656,4615,ENSG00000134070,ENSG00000172936,IRAK2,MYD88,anti tag coimmunoprecipitation|gst pull down|x-ray crystallography|pull down,physical association,9374458|10383454|12659850|20485341,Muzio et al. (1997)|Wesche et al. (1999)|Boch et al. (2003)|Lin et al. (2010),0.59
O15455,Q99836,7098,4615,ENSG00000164342,ENSG00000172936,TLR3,MYD88,gst pull down,physical association,12646618,Doyle et al. (2003),0.25
Q99836,Q9Y4K3,4615,7189,ENSG00000172936,ENSG00000175104,MYD88,TRAF6,anti tag coimmunoprecipitation,physical association,16517750,Hirata et al. (2006),0.37
O43318,Q86VZ6,6885,221895,ENSG00000135341,ENSG00000153814,MAP3K7,JAZF1,two hybrid|gst pull down|anti tag coimmunoprecipitation,physical association,15302198|15302918,Marbaix et al. (2004)|Nakajima et al. (2004),0.47
O43318,P12757,6885,6498,ENSG00000135341,ENSG00000136603,MAP3K7,SKIL,anti tag coimmunoprecipitation|two hybrid,physical association,17276978,Kajino et al. (2007),0.41
O60603,Q99836,7097,4615,ENSG00000137462,ENSG00000172936,TLR2,MYD88,two hybrid|anti tag coimmunoprecipitation|affinity chromatography technology|pull down,physical association,16482509|17126326|16893894|19717524|20348427|22673208,Brown et al. (2006)|Evdonin et al. (2006)|Gautam et al. (2006)|Kenny et al. (2009)|Guan et al. (2010)|Nada et al. (2012),0.66
Q99836,Q92985,4615,3665,ENSG00000172936,ENSG00000185507,MYD88,IRF7,anti tag coimmunoprecipitation|fluorescent resonance energy transfer|two hybrid,physical association,16484229|17018642|15361868|18924132,Zhao et al. (2006)|Negishi et al. (2006)|Kawai et al. (2004)|Schmitz et al. (2008),0.58
Q99836,P51617,4615,3654,ENSG00000172936,ENSG00000184216,MYD88,IRAK1,anti tag coimmunoprecipitation,physical association,16024789|12538665|17228323|17276401|11976320|17785432|16951367|21903422,Rao et al. (2005)|Burns et al. (2003)|Chaudhary et al. (2007)|Neumann et al. (2007)|Chen et al. (2002)|Zhande et al. (2007)|Alvarez et al. (2006)|Li et al. (2011),0.56
P14778,O43187,3554,3656,ENSG00000115594,ENSG00000134070,IL1R1,IRAK2,anti tag coimmunoprecipitation|gst pull down,physical association,9374458|12659850,Muzio et al. (1997)|Boch et al. (2003),0.43
P14778,P51617,3554,3654,ENSG00000115594,ENSG00000184216,IL1R1,IRAK1,anti tag coimmunoprecipitation,physical association,9374458|16286016|12242293|9430229|12609980|15866876|15905496,Muzio et al. (1997)|Schmitz et al. (2005)|Jiang et al. (2002)|Wesche et al. (1997)|Jiang et al. (2003)|Qin et al. (2005)|Medvedev et al. (2005),0.56
P14778,,3554,,ENSG00000115594,ENSG00000134970,IL1R1,,anti tag coimmunoprecipitation,physical association,12721283,Bin et al. (2003),0.37
,Q9NPH3,,3556,ENSG00000134970,ENSG00000196083,,IL1RAP,anti tag coimmunoprecipitation,physical association,12721283,Bin et al. (2003),0.37
Q8IUC6,,148022,,ENSG00000127666,ENSG00000134970,TICAM1,,anti tag coimmunoprecipitation|two hybrid,physical association,12721283|14519765|19412184,Bin et al. (2003)|Oshiumi et al. (2003)|Palsson-McDermott et al. (2009),0.51
O14920,P51617,3551,3654,ENSG00000104365,ENSG00000184216,IKBKB,IRAK1,anti tag coimmunoprecipitation,physical association,11096118|18180283,Vig et al. (2001)|Windheim et al. (2008),0.43
Q5VVH5,P51617,134728,3654,ENSG00000146243,ENSG00000184216,IRAK1BP1,IRAK1,anti tag coimmunoprecipitation,physical association,11096118,Vig et al. (2001),0.37
P51617,Q96FA3,3654,57162,ENSG00000184216,ENSG00000197329,IRAK1,PELI1,anti tag coimmunoprecipitation|protein kinase assay,physical association|phosphorylation reaction,16951688|17997719|26082489,Choi et al. (2006)|Ordureau et al. (2008)|Murphy et al. (2015),0.53
P98170,P55211,331,842,ENSG00000101966,ENSG00000132906,XIAP,CASP9,anti tag coimmunoprecipitation|gst pull down|ubiquitination reaction|two hybrid,physical association|ubiquitination reaction,11927604|9545235|11230124|15300255|15200957|12181739|11157976|16352606|25416956,Silke et al. (2002)|Deveraux et al. (1998)|Bratton et al. (2001)|Hao et al. (2004)|Bartke et al. (2004)|Bratton et al. (2002)|Ekert et al. (2001)|Twiddy et al. (2006)|Rolland et al. (2014),0.61
P98170,P61077,331,7323,ENSG00000101966,ENSG00000109332,XIAP,UBE2D3,ubiquitination reaction,ubiquitination reaction,15749826,Morizane et al. (2005),0.13
P61077,P55211,7323,842,ENSG00000109332,ENSG00000132906,UBE2D3,CASP9,ubiquitination reaction,ubiquitination reaction,15749826,Morizane et al. (2005),0.13
P98170,O14757,331,1111,ENSG00000101966,ENSG00000149554,XIAP,CHEK1,gst pull down|anti tag coimmunoprecipitation,physical association,14759516,Galvan et al. (2004),0.37
Q9H0E2,P51617,54472,3654,ENSG00000078902,ENSG00000184216,TOLLIP,IRAK1,anti tag coimmunoprecipitation|in-gel kinase assay,physical association|phosphorylation reaction,16024789|17276401|15388348|11751856|19716405|21903422,Rao et al. (2005)|Neumann et al. (2007)|Yagasaki et al. (2004)|Zhang et al. (2002)|Lee et al. (2009)|Li et al. (2011),0.62
P98170,Q9NR28,331,56616,ENSG00000101966,ENSG00000184047,XIAP,DIABLO,anti tag coimmunoprecipitation|far western blotting|affinity chromatography technology|gst pull down|surface plasmon resonance|ubiquitination reaction,physical association|ubiquitination reaction,11157976|11927604|11606597|11257231|12865429|11242052|12181739|15300255|15749826|15078891|12121969|12660240|17686459,Ekert et al. (2001)|Silke et al. (2002)|Hegde et al. (2002)|Huang et al. (2001)|Hegde et al. (2003)|Srinivasula et al. (2001)|Bratton et al. (2002)|Hao et al. (2004)|Morizane et al. (2005)|Creagh et al. (2004)|MacFarlane et al. (2002)|Song et al. (2003)|Park et al. (2007),0.67
P55211,P42574,842,836,ENSG00000132906,ENSG00000164305,CASP9,CASP3,gst pull down|protease assay|affinity chromatography technology,physical association|cleavage reaction|protein cleavage,12181739|12620238|17437405|8900201,Bratton et al. (2002)|Shiozaki et al. (2003)|Denault et al. (2007)|Srinivasula et al. (1996),0.58
P98170,Q8N668,331,150684,ENSG00000101966,ENSG00000173163,XIAP,COMMD1,two hybrid|anti tag coimmunoprecipitation|ubiquitination reaction,physical association|ubiquitination reaction,14685266,Burstein et al. (2004),0.42
P98170,P15170,331,2935,ENSG00000101966,ENSG00000103342,XIAP,GSPT1,gst pull down|affinity chromatography technology|anti tag coimmunoprecipitation,physical association,12865429,Hegde et al. (2003),0.42
O60603,Q9BXR5,7097,81793,ENSG00000137462,ENSG00000174123,TLR2,TLR10,anti tag coimmunoprecipitation,physical association,15728506|20348427,Hasan et al. (2005)|Guan et al. (2010),0.43
Q9BXR5,Q15399,81793,7096,ENSG00000174123,ENSG00000174125,TLR10,TLR1,anti tag coimmunoprecipitation,physical association,15728506,Hasan et al. (2005),0.37
O43353,O00206,8767,7099,ENSG00000104312,ENSG00000136869,RIPK2,TLR4,anti tag coimmunoprecipitation,physical association,15691841,Lu et al. (2005),0.37
O43353,P51617,8767,3654,ENSG00000104312,ENSG00000184216,RIPK2,IRAK1,anti tag coimmunoprecipitation,physical association,15691841|16824733,Lu et al. (2005)|Dorsch et al. (2006),0.43
O43353,Q9Y4K3,8767,7189,ENSG00000104312,ENSG00000175104,RIPK2,TRAF6,anti tag coimmunoprecipitation,physical association,15691841|16824733,Lu et al. (2005)|Dorsch et al. (2006),0.43
O60603,P00533,7097,1956,ENSG00000137462,ENSG00000146648,TLR2,EGFR,anti tag coimmunoprecipitation,physical association,17126326,Evdonin et al. (2006),0.37
O00206,P00533,7099,1956,ENSG00000136869,ENSG00000146648,TLR4,EGFR,anti tag coimmunoprecipitation,physical association,17126326,Evdonin et al. (2006),0.37
Q9NYJ8,P98170,23118,331,ENSG00000055208,ENSG00000101966,TAB2,XIAP,anti tag coimmunoprecipitation,physical association,12048196,Sanna et al. (2002),0.37
Q9NYJ8,Q8N5C8,23118,257397,ENSG00000055208,ENSG00000157625,TAB2,TAB3,anti tag coimmunoprecipitation,physical association,14633987|21903422,Ishitani et al. (2003)|Li et al. (2011),0.43
Q9NYJ8,Q12933,23118,7186,ENSG00000055208,ENSG00000127191,TAB2,TRAF2,anti tag coimmunoprecipitation,physical association,14633987|19150425,Ishitani et al. (2003)|Li et al. (2009),0.43
Q9NYJ8,Q9BYM8,23118,10616,ENSG00000055208,ENSG00000125826,TAB2,RBCK1,anti tag coimmunoprecipitation,physical association,17449468,Tian et al. (2007),0.37
