drugName,entrezGeneIds,pubmedId,author
urokinase,6768|5054|4036|5340|5055|5327|5328|5329|5104|4811,12815039|14747469|12785198|12709915|12745435|12579271|12642587|7959795|17016423|1280065|17139284|8241286|12666133|12719778|12658774|12720300|11752352|15351849|15944795|15277569|15640330|16327990|14507109|12787697|12893898|12826021|12556741|12707394|12824001|12817472|17327908|12615913|14679304|14688365|14720519|14645112|17434507|17253188|1499567,Kirchhofer D (2003)|Suzuki M (2004)|Gerstein ES (2003)|Hellgren M (2003)|Chang H (2003)|Gamberi G (2003)|Shetty S (2003)|Korenberg JR (1994)|Imming P (2006)|Kanalas JJ (1992)|Overington JP (2006)|Kanalas JJ (1993)|Lopez-Alemany R (2003)|Hashimoto M (2003)|Zhang X (2003)|Guda K (2003)|Chen X (2002)|Wygrecka M (2004)|Grebenchtchikov N (2005)|Swartz JM (2004)|Iglesias D (2005)|Fernandez-Soria V (2006)|Stief TW (2003)|Lindholt JS (2003)|Wells RG (2003)|Aleman C (2003)|Bell WR (2003)|Zhang G (2003)|Wielockx B (2003)|Fuchs T (2003)|Gutova M (2007)|Czekay RP (2003)|Kanse SM (2004)|Beaufort N (2004)|Guerrero J (2004)|Odet F (2004)|Uhrin P (2007)|Espana F (2007)|Stephens RW (1992)
goserelin,2798|3973,20053189|17016423|17139284,Kirby RS (2009)|Imming P (2006)|Overington JP (2006)
reteplase,5340|2243|5054|5329,19436656|11752352|18673235|17963464|17016423|17139284,Melandri G (2009)|Chen X (2002)|Longstaff C (2008)|Hilleman DE (2007)|Imming P (2006)|Overington JP (2006)
erythropoietin,2057,11752352|16505108|17575216,Chen X (2002)|LaMontagne KR (2006)|Kokhaei P (2007)
salmon calcitonin,799,11752352|9231703|7610922|3004987,Chen X (2002)|Sarkar A (1997)|Stroop SD (1995)|Bouizar Z (1986)
interferon alfa-n3,3454|3455,15898717|17016423|11752352|17139284|19955815|16953837,Dhalluin C (2005)|Imming P (2006)|Chen X (2002)|Overington JP (2006)|Ishii K (2009)|Yano H (2006)
pegfilgrastim,1991|1441,15353486|12958067|16245075|17475913|14657210|16033816|12944913|17001306|15949269|15082029|17127322,Druhan LJ (2005)|Pelus LM (2004)|Jian MY (2004)|Schepers H (2007)|Carter CR (2004)|Zhuang D (2005)|Elsaesser A (2003)|Erkeland SJ (2007)|Cao YR (2005)|Kotto-Kome AC (2004)|Ward AC (2006)
sargramostim,5553|3563|6383|1438|1439,16522458|17600316|17383764|17500228|16698686|17562355|17522711|17016423|17139284|10734053|11752352|17090651|16760463|16638185|1424804,Letuve S (2006)|Kang JH (2007)|Menon K (2007)|Sakhno LV (2007)|Ward KA (2006)|Eksioglu EA (2007)|Lencz T (2007)|Imming P (2006)|Overington JP (2006)|Modrowski D (2000)|Chen X (2002)|Wang Y (2007)|Chen J (2006)|Xiao R (2006)|Shen Y (1992)
secretin,6344,17016423|11752352|17139284,Imming P (2006)|Chen X (2002)|Overington JP (2006)
peginterferon alfa-2b,3454|3455,17016423|11752352|17139284|15898717|16953837|19955815,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Dhalluin C (2005)|Yano H (2006)|Ishii K (2009)
thyrotropin alfa,7253,9039330|15571461|11752352,Conway GS (1996)|Szkudlinski MW (2004)|Chen X (2002)
antihemophilic factor (recombinant),2158|7450|2159|3309|821|811|433|3998|5264|4035|90411,6422634|932529|2994716|1119107|14240634|2942172|14750934|2128855|10938981|11858481|13801371|6436416|236567|11891806|14285227|17016423|9607108|17139284|9525969|15213841|17899080|15946216|14629470|14726380|11574539|21391865|15886209,Prince AM (1984)|Hoofnagle JH (1976)|Yoshitake S (1985)|Hule V (1975)|LUNDBLAD RL (1964)|Altieri DC (1986)|Gill JC (2003)|Smith KJ (1990)|Shord SS (2000)|Lillicrap D (2002)|BLATRIX C (1959)|Orthner CL (1984)|Radnoff OD (1975)|Freedman J (2002)|LUNDBLAD RL (1965)|Imming P (2006)|Kaufman RJ (1997)|Overington JP (2006)|Pipe SW (1998)|Becker S (2004)|Srour MA (2008)|Bovenschen N (2005)|Cunningham MA (2003)|Miao HZ (2004)|Chen C (2001)|Franchini M (2011)|Zhang B (2005)
anakinra,3554,17083033|10210771|11752352|12355453|12817089|17352828|17498496,Do H (2006)|Vannier E (1999)|Chen X (2002)|Vamvakopoulos J (2002)|Dayer JM (2003)|So A (2007)|Tang YH (2007)
immune globulin human,2213|2212|2209|2214|2215|727|718|9103|721|2210|720,17911465|20441428|17351760,Siberil S (2007)|Baerenwaldt A (2010)|Negi VS (2007)
anistreplase,5340|2243|5054|5329,19436656|11752352|18673235|17963464|17016423|17139284,Melandri G (2009)|Chen X (2002)|Longstaff C (2008)|Hilleman DE (2007)|Imming P (2006)|Overington JP (2006)
insulin human,5122|5126|3643|3490|1509|5925|4036|4856|94121|1363|3480|3416,17016423|17139284|17722952|11752352|12970169|20230616|19683471|12038982,Imming P (2006)|Overington JP (2006)|Bell DS (2007)|Chen X (2002)|Desbuquois B (2003)|Chiu SL (2010)|Tanti JF (2009)|Chen LM (2002)
tenecteplase,5054|5340|811|5329|821|5055|2243|302|4035|3856|7123,11163592|14564902|17963464|19436656|11752352|18673235|9359841|12210068|15231724|11447759|17141398|7958159|3091604|10578524|12730231|15194650|8344937|1378833|16303771|9988531|8810346|8760360|12694198|17853709|9034981,Lindberg P (2001)|Hattori M (2001)|Hilleman DE (2007)|Melandri G (2009)|Chen X (2002)|Longstaff C (2008)|Allen S (1997)|Ferrier CM (2002)|Maupas-Schwalm F (2004)|Bankl HC (2001)|Verkleij-Hagoort AC (2007)|Bremer HA (1994)|Stump DC (1986)|Kang HM (1999)|MacLeod TJ (2003)|Diaz VM (2004)|Moestrup SK (1993)|Nykjaer A (1992)|Hu K (2006)|Kralovich KR (1998)|Hembrough TA (1996)|Westergaard UB (2003)|Vuckovic B (2007)|Kamper EF (1997)
menotropins,3973|2492,17016423|7872378|17139284|14680547|11752352,Imming P (2006)|Olive DL (1995)|Overington JP (2006)|van de Weijer BH (2003)|Chen X (2002)
interferon gamma-1b,3459|3460,11752352|17251453|17618444|17239631,Chen X (2002)|Matsuda A (2007)|Yao X (2007)|Park-Min KH (2007)
interferon alfa-2a - recombinant,3454|3455,15898717|18230610,Dhalluin C (2005)|Cironi P (2008)
desmopressin,554|553|552,11752352|16333859|18761325|14971638|18655906|15613460|10731046|10594321|8957254,Chen X (2002)|Slusarz MJ (2006)|Del Tredici AL (2008)|Dinan TG (2004)|Craighead M (2008)|Pequeux C (2004)|Loichot C (2000)|Mechaly I (1999)|Barthelmebs M (1996)
coagulation factor viia recombinant human,3249|2159|2152|7035|2155|2677,17016423|17139284|13801371|5969560|14227143|13713641|13621053|1586032|6658368|11238112|12974870|8700900|7559599|11772005|16370916|10388743|15907148|11735107|12525826|10901669,Imming P (2006)|Overington JP (2006)|BLATRIX C (1959)|Malinvaud G (1966)|GAERTNER H (1964)|HERMANSKY F (1960)|DIDISHEIM P (1959)|Rogers KS (1992)|Christensen NJ (1983)|Hansen CB (2001)|Lee AY (2003)|Stassens P (1996)|Narita M (1995)|Mine S (2002)|Rizoli SB (2006)|Perera L (1999)|Siddiqui MA (2005)|Shapiro A (2001)|Shapiro A (2003)|Bouwman CA (1999)
oprelvekin,3590,8676079|11570967|9310465|11012177|8637716|11752352,Romas E (1996)|Li R (2001)|Nandurkar HH (1997)|Nandurkar HH (2000)|Nandurkar HH (1996)|Chen X (2002)
palifermin,2261|2260|2263|8829|2264|3339,7680555|11422746|10821861|11149756|7890137|10212269|10950949|9890894|11091737|11714710|17728847|9056643|10593896|16390600|7499435|16854582|17456767|11752352|9094999|7526860|9843417|9755102|16989989|9788974|14753849,Mummery CL (1993)|Cancilla B (2001)|Beer HD (2000)|Yamanaka T (2000)|Launay C (1994)|Lu W (1999)|Sher I (2000)|Wang F (1999)|Matsubara A (1999)|Ostrovsky O (2002)|Beaven AW (2007)|Cardoso WV (1997)|Berman B (1999)|Radtke ML (2005)|Patrie KM (1995)|Huang YW (2006)|Zhu X (2007)|Chen X (2002)|Friedl A (1997)|Imagawa W (1994)|Luo Y (1998)|Sannes PL (1998)|Iwabuchi T (2006)|Sharma B (1998)|Asada N (2004)
glucagon recombinant,2740|9340|2642,17475961|17498508|12529935|17534934|11212269|15817468|9990065|17016423|17139284|8144028|17623014|17462598|8020989|17479245|11752352|17620721,Koerner M (2007)|Baggio LL (2007)|Brubaker PL (2003)|Fischer AJ (2007)|Boushey RP (2001)|Estall JL (2005)|Munroe DG (1999)|Imming P (2006)|Overington JP (2006)|Lok S (1994)|Li XC (2007)|Katayama T (2007)|Menzel S (1994)|Winzell MS (2007)|Chen X (2002)|Li P (2007)
aldesleukin,3560|3559|3561,16617454|11752352|16477002|16569767|16596189|16542139|10207608|17530023|17584597|17216565|16864089|16767920|17083048|17363735|17635814|17598841,Maclennan C (2006)|Chen X (2002)|Stauber DJ (2006)|Cornish GH (2006)|Lee KD (2006)|Steppan S (2006)|Ouyang Y (1999)|Waldmann TA (2007)|Vlad G (2007)|Liu BY (2006)|Recchia F (2003)|Blank RB (2006)|Smyth CM (2007)|Fonseca SG (2007)|Shibata F (2007)
botulinum toxin type b,6843|6844|127833,17016423|11752352|17139284|14573702|19576489,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Liu W (2003)|Poulain B (2009)
omalizumab,2205|2206,17368811|15356552|17016423|17139284|17073688,Mirkina I (2007)|Beck LA (2004)|Imming P (2006)|Overington JP (2006)|DuBuske LM (2006)
lutropin alfa,3973,17016423|11752352|17139284|20161981,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Gibreel A (2010)
ospa lipoprotein,7097,14617145,Welty DM (2003)
insulin lispro,3643|3480,11752352|8964871|8937933|20424816|20392809,Chen X (2002)|Jehle PM (1996)|Sciacca L (2010)|Smith TJ (2010)
insulin glargine,3643|3480,18585815|20424816|17922476|11752352|20392809,Wada T (2008)|Sciacca L (2010)|Le Roith D (2007)|Chen X (2002)|Smith TJ (2010)
collagenase clostridium histolyticum,1280|1278|1281|1277,17652426|15299286|12890681|14613270|16507130|12101112|2145268|17016423|17139284|12535212|15659034|12855673|17440987,Imai K (2007)|Martin G (2004)|Pratta MA (2003)|Fraser A (2003)|Verstappen SM (2006)|Chiu CJ (2002)|Cole WG (1990)|Imming P (2006)|Overington JP (2006)|Beare AH (2003)|Beare AH (2005)|Lindsey ML (2003)|Egeblad M (2007)
cetrorelix,2798|3973,14605254|11752352|12606421|11854630|14561652|16809153|17016423|11943741|17139284,Roth C (2004)|Chen X (2002)|Zapatero-Caballero H (2003)|Voelker P (2002)|Zapatero-Caballero H (2004)|Castellon E (2006)|Imming P (2006)|Ascoli M (2002)|Overington JP (2006)
adalimumab,2213|716|2212|2215|715|713|712|2214|714|2209|7124|9103,17016423|17139284|11752352|14532145|12044041|15046527|15200343|15022409,Imming P (2006)|Overington JP (2006)|Chen X (2002)|Flendrie M (2003)|Lorenz HM (2002)|Bang LM (2004)|Klinkhoff A (2004)|Aguillon JC (2003)
somatropin recombinant,2690|5618,17133434|16965663|11752352|17128263|17082603|16917171|17317019|2270485|17279774|17395896,Bernstein RM (2007)|Wu XY (2006)|Chen X (2002)|Choi JH (2006)|Adriani M (2006)|Walenkamp MJ (2006)|Moederscheim TA (2007)|Cunningham BC (1990)|Keeler C (2007)|Ahmed TA (2007)
abciximab,2213|716|2212|2215|713|715|3674|712|2214|714|2209|9103|3690|7448,17016423|17139284|19499855|12749745|18510478|11752352|17441904|11588534|12165285|17160551,Imming P (2006)|Overington JP (2006)|Gibbs NM (2009)|Ibbotson T (2003)|Mazzaferri EL (2008)|Chen X (2002)|Hall PR (2007)|Amoroso G (2001)|Weber AA (2002)|Romagnoli E (2007)
drotrecogin alfa,2157|5627|5054|5269|10544|2153|7056|1356|2677|2147|5104|5196,11752352|18954704|9184404|1828915|12062545|3160800|17566522|14515185|11259926|12004248|17016423|17139284|15118520|12353077|12871285|9529319|12030642|11236773|12004250|11714212|11893230|1660324|15252033|2836377|11804648|3039877|10463819|12208873|12070133|12296618|9620917|8391599|10456457|7769227|12671072,Chen X (2002)|Colin G (2008)|Geng JP (1997)|Hesselvik JF (1991)|Cvirn G (2002)|Cosio FG (1985)|Cerchiara E (2007)|Dhainaut JF (2003)|Carr ME (2001)|Idell S (2002)|Imming P (2006)|Overington JP (2006)|Liaw PC (2004)|Castellino FJ (2002)|Ruf W (2003)|Fukudome K (1998)|Poe K (2002)|Bernard GR (2001)|Joyce DE (2002)|Kanji S (2001)|Lyseng-Williamson KA (2002)|McCachren SS (1991)|Pineda AO (2004)|Shirai T (1988)|Gresele P (2002)|Boffa MC (1987)|Omar MN (1999)|Conway EM (2002)|Gruber A (2002)|Levi M (2002)|Kobayashi H (1998)|Hayashi T (1993)|Shen L (1999)|He X (1995)|Berg DT (2003)
gemtuzumab ozogamicin,2213|716|2212|2215|715|713|712|2214|714|2209|945|9103,17016423|17139284|9649182|7509291|9815888|20564405|11342449|10942240|11249747|11432892|11410481|11752352,Imming P (2006)|Overington JP (2006)|Rogler G (1998)|Ericson SG (1994)|Caron PC (1995)|McHayleh W (2010)|van Der Velden VH (2001)|Naito K (2000)|Niculescu-Duvaz I (2000)|Sievers EL (2001)|Bross PF (2001)|Chen X (2002)
alpha-1-proteinase inhibitor,1991,20521180|11752352|16773239,Topic A (2011)|Chen X (2002)|Karnaukhova E (2006)
interferon beta-1a,3454|3455,12034032|10049744|11747625|16912135,Dupont SA (2002)|Russell-Harde D (1999)|Runkel L (2001)|van Koetsveld PM (2006)
pegademase bovine,2885,9299436,Ramos-Morales F (1997)
human serum albumin,259|348|6288,15452109|17141733|16554356|12860569|12887764|17553935|17016423|17139284,Sala A (2004)|Mojzisova H (2007)|Michaelis K (2006)|Yuan Z (2003)|Yuan ZY (2003)|Yamashita T (2007)|Imming P (2006)|Overington JP (2006)
eptifibatide,3690,14618072|14617694|15860200|12928738|10592235|12360110|11588534,Schroer K (2003)|Schwarz M (2004)|Fischer TH (2005)|Auer J (2003)|Berman HM (2000)|Weber AA (2002)|Amoroso G (2001)
serum albumin iodonated,259|348|6288,17016423|17139284|17378158|16441928|10361047|9200475|10903648,Imming P (2006)|Overington JP (2006)|Wang L (2006)|Cano NJ (2006)|Danesh J (1999)|Grehan S (1997)|Danesh J (2000)
infliximab,7124,16622728|16456024|15674127|15804598|15691299|17642244|12110154|16052578|11752352|15481318|15691217,Mori S (2006)|Danese S (2006)|Magro F (2005)|Popa C (2005)|Shen C (2005)|Mimura T (2007)|Maini RN (2002)|Braun J (2005)|Chen X (2002)|Sapienza MS (2004)|Tobin AM (2005)
follitropin beta,2492,8319832|8070368|11299519|18020563|2108722|7755615|11752352,Dattatreyamurty B (1993)|Lindau-Shepard B (1994)|Layman LC (2001)|Goa KL (1998)|Santa Coloma TA (1990)|Leng N (1995)|Chen X (2002)
vasopressin,554|553|552,17287200|17020465|11752352|16333859|16563128|17027167|16114100|15993108|16720725|17284170|16011575|16532916|17303660|16511036|17275806,Yi X (2007)|Boson WL (2006)|Chen X (2002)|Slusarz MJ (2006)|Bouley R (2006)|Young WS (2006)|Jurkevich A (2005)|Volpi S (2006)|Wersinger SR (2007)|Hammock EA (2005)|Liedman R (2006)|Aoyagi T (2007)|Adikesavan NV (2005)|Hiroyama M (2007)
interferon beta-1b,3454|3455,10049744|11752352,Russell-Harde D (1999)|Chen X (2002)
interferon alfacon-1,3454|3455,17016423|12528473|17139284|11752352|8836913,Imming P (2006)|Yasuda S (2002)|Overington JP (2006)|Chen X (2002)|Blatt LM (1996)
hyaluronidase,7040,9850732|11327694|7648625|9435505,Chang NS (1998)|Chang NS (2001)|Locci P (1995)|Chang NS (1997)
insulin pork,5122|5126|3643|3490|1509|5925|3118|4856|4036|94121|1363|3119|3480|3416,17016423|12136131|17139284|17097861|1435788|9662053|8666140|17221210|11752352|12970169|12038982|17475416|10383131|11089538|11779865|9130467|10229502|1701386|8200980|9458118|11006709|10084601|12149257|8622864|17018843|9051350|9773776|16831872|15028737|16216924|12588113|2481446|9452465|1612232|1728861|10592235|9846170|9582514|7476290|8504733|13560210|9643444,Imming P (2006)|Zhu X (2002)|Overington JP (2006)|Kuwahata M (2007)|Marriott D (1992)|Utsunomiya N (1998)|Ohagi S (1996)|Zertal-Zidani S (2007)|Chen X (2002)|Desbuquois B (2003)|Chen LM (2002)|Radulescu RT (2007)|Degeorges A (1999)|Lopez-Bermejo A (2000)|Authier F (2002)|Nunn SE (1997)|Ogino S (1999)|Biener Y (1990)|Pugliese A (1994)|Donner H (1997)|Hermann R (2000)|Burren CP (1999)|Lafont J (2002)|Martinerie C (1996)|Fuster DG (2007)|Christensen EI (1997)|Orlando RA (1998)|Plaisance V (2006)|Torii S (2004)|Gomi H (2005)|Polastri L (2003)|Guest PC (1989)|Furuta M (1998)|Levy-Marchal C (1992)|Mahran MZ (1992)|Berman HM (2000)|Fottner C (1998)|Zhang Q (1998)|Sowers JR (1995)|Harada S (1993)|MARIGO S (1958)|Hsu MC (1998)
trastuzumab,2213|716|2064|2209|1956|713|712|2214|714|2215|2212|9103|715,17016423|17139284|11752352|17660958|11098307|18690878|9435876|17363544|15471859|14666732|15680154|16109421|15868915|17704420,Imming P (2006)|Overington JP (2006)|Chen X (2002)|Lin A (2007)|Treish I (2000)|Leveque D (2008)|Curnow RT (1998)|Suzuki E (2007)|Shahied LS (2004)|Kubo M (2003)|Xie Z (2005)|Bowles JA (2005)|Yamaguchi Y (2005)|Zhang W (2007)
rituximab,2213|716|2212|2215|715|713|712|2214|714|2209|931|9103,17016423|17139284|17324336|16609067|15659493|16825493|17475906|16109421|12874252|15448014|20350667|11752352|20350663,Imming P (2006)|Overington JP (2006)|Hatjiharissi E (2007)|Kim DH (2006)|Treon SP (2005)|Bowles JA (2006)|Bowles JA (2005)|Di Gaetano N (2003)|Niwa R (2004)|van Meerten T (2010)|Chen X (2002)|Jaglowski SM (2010)
basiliximab,2213|2212|716|2209|715|713|712|2214|714|3560|2215|3559|9103,17016423|17139284|11840795|10188761|12826150|10708100|12667677|11752352|16908318|12591363|9695721|10512062|10567956,Imming P (2006)|Overington JP (2006)|Schmitz K (2002)|Onrust SV (1999)|Emparan C (2003)|Hausen B (2000)|Warle MC (2003)|Chen X (2002)|Garcia CD (2006)|Choy BY (2003)|Kovarik J (1998)|Berard JL (1999)|Mentre F (1999)
muromonab,2213|716|2212|2215|715|713|712|2214|714|2209|915|917|919|9103|916,17016423|17139284|10851527|10851498|8861551|2503348|11752352,Imming P (2006)|Overington JP (2006)|Pellegrini P (1996)|Contasta I (1996)|Wilde MI (1996)|Todd PA (1989)|Chen X (2002)
ibritumomab tiuxetan,2213|716|2212|2215|715|713|712|2214|714|2209|931|9103,17016423|17139284|11752352|11879282|10541376|12011122|11418316|20113680|15045033,Imming P (2006)|Overington JP (2006)|Chen X (2002)|Dillman RO (2002)|Wiseman GA (1999)|Witzig TE (2002)|Goldenberg DM (2001)|Goldsmith SJ (2010)|Witzig TE (2004)
tositumomab,2213|2212|2215|715|713|712|2214|714|2209|931|9103,17016423|17139284|11752352|11879282|11418316|12899647|13129395|15023434|14748653,Imming P (2006)|Overington JP (2006)|Chen X (2002)|Dillman RO (2002)|Goldenberg DM (2001)|Unknown (2003)|Beeson C (2003)|Silverman DH (2004)|Friedberg JW (2004)
pegvisomant,2690,17322491|20595800|11752352|19820031,Paisley AN (2007)|De Martino MC (2010)|Chen X (2002)|Moller L (2009)
botulinum toxin type a,388|6616,15140914|11752352|16831062|15222581|15749336|15484814|14644446,Ishida H (2004)|Chen X (2002)|Straughan D (2006)|Flynn TC (2004)|Frassoni C (2005)|Okada M (2004)|Zhou JY (2003)
streptokinase,5340|2149,11752352|10631997|10581996|10569766|10664583|10726310|10666203,Chen X (2002)|Chaudhary A (1999)|Alessi MC (1999)|Caballero AR (1999)|Parry MA (2000)|Korol'chuk VI (2000)|McRedmond JP (2000)
alemtuzumab,2213|2212|2215|715|713|712|2214|714|2209|1043|9103,17016423|17139284|15217834|8707338|9337053|9020367|11752352|10744652|10520035|10573085|19479612|10092828|10366506|19343298,Imming P (2006)|Overington JP (2006)|Lin TS (2005)|Brett S (1996)|Nagler A (1997)|Osterborg A (1997)|Chen X (2002)|Hederer RA (2000)|Rawstron AC (1999)|Rebello PR (1999)|Geissinger E (2009)|Gilliland LK (1999)|James LC (1999)|Quintas-Cardama A (2009)
capromab,2346,11016653|9508077|9792131|11752352|15882479,Smith-Jones PM (2000)|Gregorakis AK (1998)|Sodee DB (1998)|Chen X (2002)|Sodee DB (2005)
cyclosporine,5478|10105|819|5535,16641261|20368803|17609268|20637127|16849427|17461417|6238408|17016423|17139284|20927389|20674565|20602248,Keckesova Z (2006)|Stegmann CM (2010)|Schaller T (2007)|Lee J (2010)|Patwardhan AM (2006)|Redell JB (2007)|Handschumacher RE (1984)|Imming P (2006)|Overington JP (2006)|Bernasconi R (2010)|Yamashita H (2010)|Galat A (2010)
alefacept,2213|914|2212|2209|715|713|712|2214|714|2215|9103,17016423|17139284|11752352|11970990|12795770|17403057|17555598|14968366|12795239,Imming P (2006)|Overington JP (2006)|Chen X (2002)|da Silva AJ (2002)|Ortonne JP (2003)|Larsen R (2007)|Chamian F (2007)|Goedkoop AY (2004)|Vaishnaw AK (2002)
felypressin,552,17016423|11752352|17139284|18655903,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Manning M (2008)
urofollitropin,2492,8319832|8070368|11299519|2108722|7755615|11752352,Dattatreyamurty B (1993)|Lindau-Shepard B (1994)|Layman LC (2001)|Santa Coloma TA (1990)|Leng N (1995)|Chen X (2002)
efalizumab,3683|2212|9103|2215|715|713|712|2214|714|2209|2213,11752352|19170413|17053736|17016423|17139284,Chen X (2002)|Frampton JE (2009)|Descamps V (2006)|Imming P (2006)|Overington JP (2006)
chorionic gonadotropin (recombinant),2492|3973,9027352|20374735|11752352|17059863|12606382|15967102,Jameson JL (1996)|Tao YX (2009)|Chen X (2002)|Lin W (2007)|Gromoll J (2003)|Bodek G (2005)
anti-thymocyte globulin (rabbit),3683|2213|909|920|3140|3688|3685|942|3690,12586600|17016423|11752352|17139284,Monti P (2003)|Imming P (2006)|Chen X (2002)|Overington JP (2006)
filgrastim,1991|1441,15353486|16245075|17475913|14657210|12393522|17311988|17127322|16033816|17494858|15949269|17001306,Druhan LJ (2005)|Jian MY (2004)|Schepers H (2007)|Carter CR (2004)|El Ouriaghli F (2003)|Donini M (2007)|Ward AC (2006)|Zhuang D (2005)|Link DC (2007)|Cao YR (2005)|Erkeland SJ (2007)
coagulation factor ix (recombinant),2157|2147|2159|2160|4035|2155|2677,12719776|14598591|659613|12826528|11150722|16476097|10499905|11019961|10498586|10499904|10648407|11752352|8083242|9079657|10933803|10919405|1391956|11342438|10593931|17016423|17139284|12522212|10938981|10192655|10617609|10381508|8506307|14660587|9115224|9141486|9748333,Carr ME (2003)|Kalashnikova LA (2003)|Di Scipio RG (1978)|Federici AB (2003)|Neels JG (2000)|Johansen RF (2006)|Seitz R (1999)|Bauer KA (2000)|Butenas S (1999)|Koehler M (1999)|Samis JA (2000)|Chen X (2002)|Jones KC (1994)|Ambrosini G (1997)|London FS (2000)|Scandella DH (2000)|Worfolk LA (1992)|Gailani D (2001)|Sun MF (1999)|Imming P (2006)|Overington JP (2006)|Rohlena J (2003)|Shord SS (2000)|Baker DC (1999)|Celie PH (2000)|Hertzberg MS (1999)|Rehemtulla A (1993)|Lin PJ (2004)|Wu SM (1997)|Stanley TB (1997)|Stanley TB (1998)
becaplermin,5156|2|5159,7665222|1702511|10070317|12632922|14506245|7541796|1697862|18686746,Ebert M (1995)|Heidaran MA (1991)|Abdiu A (1998)|Miller-Kasprzak E (2003)|Yu J (2003)|Bonner JC (1995)|Lizonova A (1990)|Papanas N (2008)
octreotide,6755|6751|6752,16809928|16625841|16086874|16438887|16625842|15103227|16223973|19537708|11752352,Bronstein MD (2006)|Jaquet P (2006)|Xie Y (2005)|Wang ZZ (2005)|Schmid HA (2006)|Matrone C (2004)|Ruan W (2006)|Yim CB (2009)|Chen X (2002)
interferon alfa-2b - recombinant,3454|3455,17016423|11752352|17139284|10567921|7584665,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Khine AA (2000)|Eid P (1995)
abarelix,2798,16985933,Debruyne FM (2006)
oxytocin,5021|5020,21208749|18655883|20104850|20108008|15646817|17016423|6687626|1486803,Furman DJ (2011)|Gimpl G (2008)|Frantz MC (2010)|Spyranti Z (2010)|Ahn TG (2005)|Imming P (2006)|Land H (1983)|Rao VV (1992)
natalizumab,2213|2212|3383|2215|715|713|712|3676|714|2209|2214|9103,17016423|17139284|11752352|17461891|16268663|9389694|16634035,Imming P (2006)|Overington JP (2006)|Chen X (2002)|Stueve O (2007)|Sheremata WA (2005)|Craddock CF (1997)|Niino M (2006)
palivizumab,2212|9103|2215|715|713|712|2214|714|2209|2213,17016423|17139284,Imming P (2006)|Overington JP (2006)
