drugName,entrezGeneIds,pubmedId
nsc-50690,60489|51053|200315|29994|9367|9682,
chembl2013119,2149,
pmid25666693-compound-23,7442,
istaroxime,476|488,
gsk2816126,2146,
gnf-pf-5510,7398|4137|5429|5423|3028|10951|1576|7068|51426|2237|328|9099|4790|54737|5999|410|11201|5594|5965|10919|641,
nsc-50654,390245|774|320|4137,
sj000113257,4790|4791|9682|51053|79915|3417|3320|387129|4986|185|29994|10002|5970|6311,
alprenolol,154|153,2903243
chembl2103836,778|774|9254|775|786|782|781|784|10368|773|777|10369|783|779|27092|59284|59285|8911|776|27091|785|8913|93589|55799|8912,
aldicarb,4780|5468|196,
fluticasone propionate,3586|1577|2908|1394|56934|943|1437|5321|113263|3553|6352|3308|9332,12372131|18695978|19210659|15128701|22248724|18539200|24407380|11108439|10433509|21991891|11943316|14556981|9645591|9712057
paraben,760|771|768|762|23632|765|759,
pyrazolopyridine derivative 2,3718,
heterocyclic derivative 13,5163,
rottlerin,216|7421|387|10919|10951|5580|7398|11201|4137|5999|2648,22093759
chembl2095222,131873|3918|1289|1301|340267|3913|3911|1286|85301|1282|80781|1278|1284|50509|1290|1277|1293|3912|1306|2335|255631|22798|3914|10319|1280|1287|1291|3908|284217|1288|1285|1292|1281|1302|3910|3909|256076,
pmid27336223-compound-12,5916,
diethylstilbestrol,8856|60482|2099|367|6097|1565|1786|268|10728|2104|51053|1559|4780|1576|9971|4025|1557|3265|2103,26408814|22931300|16598927|2286533|15229138|12579585|10994878|1980008
chembl3545209,11280|6326|6334|6323|6329|6332|6335|6328|6331|6336,
tacrolimus,2328|3586|3606|11132|1576|6934|1565|2280|5530|6696|8856|5465|200186|1558|54576|3562|1551|54657|6361|387082|9429|1244|64127|367|3290|1573|50943|1493|2875|221785|5447|3784|7099|3767,28084894|21359536|25712187|25487141|19752882|29318894|23041303|21857094|17202802|16103732|28777242|26882121|29733390|25271728|24658827|24113216|29399716|26644205|18769365|28316087|23426640|20565459|27966227|10051052|15194145|11061569|28941036|17031644|23175667|25587129|27747372|9825815|29454235|23097010|25322286|26829596|30323313|26227094|21770725|24921414|24739669|24061445|28094348|29878980|21355884|24820765|22264780
doxorubicin,1647|1565|581|672|7153|174|1588|1244|861|2944|7157|55816|472|1557|4846|873|7052|627|7155|332|2539|9429|8714|4907|4654|5291|2064|10599|207|5290|51426|5916|1027|6872|4689|6390|8856|1544|8644|6935|546|6670|7150|2067|2214|5243|54578|4780|3921|4602|552859|1906|1432|1545|238|5880|7515|216|596|4297|4842|4843|7040|64078|1576|8574|6714|1728|4835|673|10327|3014|2625|5294|1535|4363|8493|2215|218|85413|2938|54093|2146|53353|874|10257|2950|1559|4915|3589|328|1555|655|1543,7729953|22931300|12040435|12698198|15770640|16330681|26552700|23323945|25658463|21399868|16243804|23165797|26826118|26590194|23585524|19671875|25545243|29938344|21048526|19016765|19022938|19204081|18174247|10728907|16211302|539595|11956086|7927909|8119948|16905201|27234217|18708578|27893038|20179710|12576455|10070062|19448608|28485375|28763429|26799497|6672210|16278810|27561454|23116553|20837989|24013721|26936505|17511886|21094049|19053767|17276690|1830717|11408511|22698404|17363498|9569050|24065105|18413364|11493465|15001837|11589785|22016816|15557793|16880530|16749867|12956904|21388138|26211460|20170164|22276998|15465924|7532928|9333325|10954045|21946896|27924459|15489221|26373572|28455243|24141364|25823784|25466181|12761490|28036387|17559346|26288684|24215845|25605023|22896685|20007405|18551042|19696793|11351295|12438277|25637052|18377430|25582575|18408561|9363868|15588138|9187528
resveratrol,51426|23411|2309|3553|367|8737|3028|3082|6607|632|6515|5587|6606|56616|4791|7157|4790|9518|1056|351|2950|2671|4780|79915|5970|4864|5290|5175|4313|1017|10919|5144|207|6517|5142|3064|1576|2099|3316|332|672|196|4137|1432|3091|5578,23316803|23859249|18046409|17513867|16389574|16116226|15672869|16267019|11277764|11008129|15837718|15469386|11895857|16099206|23799643|11279601|15925284|15041740|16084059|15122319|18065527|17125593|16759640|17270149|14729643|16525036|21880495
chembl1201155,1815|1814|3358|1813|3356,
incell-1001+ ad-1001,3559|3595,
lenvatinib,3791|5979|2263|2324|2260|673|7525|3815|4893|5159|2321|5156,25295214|26169970|27496134
idazoxan,51053|5467|2475|4780|367|79915,
mifepristone,2908|4780|10951|354|29994|5241|3976|367|9682|2778|2475|627|1576|1812|10919|5243|54737|387129,9052414|10717784|17464718|9187528
lenalidomide,3845|2247|7124|51185|1499|10320|7422|5243|8600|7424|7423,27458141|28373444|26521987|24292625|29177954|23480694
sb-202190,6300|27148|1576|3480|57396|4916|10919|3028|5602|2580|1557|5599|10951|23043|1452|1559|7525|5753|5600|4915|9448|8767|5594|2444|1432|23683|1544|1454|1956|54737|51053|5566|1565|5601|6098,22951114
tcmdc-124522,29127|9367|79915|4864,
chlorambucil,4255|7157|2671|2176|6387|2064|2944|675|29994|672|4790|6097,8621235|16243825|27173875|11691913|15044619|25193512
prednisolone,581|8378|2215|367|301|3146|5243|4780|632|1576|1577|7038|5340|7259|5925|6898|947|2908|4851|80339|2539|250|3931|2214|29940,12730678|10450869|17329922|18447956|14583680|25582575|1997509|9187528|12673034|3427792|8636270|2079995|28151717|6127207|7532164|28744905|16324786|6699450|2314540
domperidone,79915|1565|1813|5243|3757,15285840
verapamil,785|3553|7040|3739|775|784|9722|778|2950|5328|8913|581|779|5789|782|6517|783|1576|5243|3559|3308|776|130271|2868|30820|786|4363|3949|10062|4609|3576|3779|7298|8911|3762,2686646|18604993|19247217|20031608|3566185|9579573|9354939|26425837|8622594|9187528|9862768|1671173|2645720|12857801|27670767|22949529|18496125|17700361|18854753|17646169|19725578|7683421|24607999|22405646|21348461|17964170|22209486|25686592|11754602|22429509|24992153|23683834|18257545|21856049|20363635|21562465|1511424|21393461|3436366
pirinixic acid,216|5465|3248|1565|1576,23171045|17228882|25497132
nsc-234945,9367|6606|29994|26013|6607|4864|249|9682|861|79915|865,
dexpropranolol,1544|7253|1565|1559,
asp3026,238|6098|4869|27436,27009859|25749034|25421750|25228534
cytarabine,1559|6241|10919|116931|7157|861|55816|1544|6240|51251|2322|978|3308|5243|7490|10599|494514|1576|8202|4297|6820|10320|2623|5423|1565|3815|116085|552859|29102|10257|7298|1557|1633|64805|655|1571|50484|22978|2625,22931300|24024897|24444404|21343560|26590194|25000516|22627678|25818407|27626069|28644114|12008078|12530536|25558979|20938465|25567217|16331627|18591546|26663398|22584460|21325291|21521023|22304580|22379997|25003625|19458626|23651026|23230131|18473752|27443263|30044693|23874683|18986703|24614921|26842729|15564883|24141364
pmid25684022-compound-us20120277229 45(1.5),5163,
anthracycline,7422|7153|672|581|3084,15297400|14978790|15068318|12611456|10641488|14654373
clofazimine,9682|10951|1565|2139|10919,
chembl107,112714|347688|10383|7846|203068|113457|7280|10381|10376|84790|81027|84617|347733|7277,
dinoprostone,5734|5732|5731|5733|7253|5737,25701254
zotepine,3356,
rvt-103+rvt-104,590,
doxacurium,1129|1135,
vinorelbine,6240|7280|672|2064|581|7275|324|6597|675|840|7515,23038758|24647522|26801247|27992451|24742739|11720482|22399804|26671993|14559807|22441531|19157633
chlordiazepoxide,2564|2565|2567|2568|2560|2561|367|2554|2555|2563|2570|2558|200959|2556|2562|2569|55879|706|2557|2559|2566,
amg 986,187,
duloxetine,6532|1565|285852|57101|55904|54881|6530|2220|27130|9652|4684|57194|1814|51053|79750|9378|125170,29407288|28696415|22249355
trametinib dimethyl sulfoxide,673,25435907|28480077|28078132
everolimus,7428|57521|6794|7249|2475|1499|5979|2776|3265|5728|4893|2064|673|4763|2264|201163|2100|1956|10000|2280|3845|4851|5295|8242|207|675|55193|4771|7248|8314|5290|472|2099|4352|208|2767|1577|5243|367|672|5925,26951309|21189378|23158522|25295501|24625776|26294908|27683183|27507190|26176165|24836070|26544513|24622468|23629727|24742739|26821351|27797976|20664174|20664172|27217440|29156677|26859683|11010|2016|17557|2015|23995526|28151717|27751729|22473592|21358673|22662154|28330462|26546619|21107682|20975068|25567352|21725052|27091708|23989949|23582881|26458301|24628014|25893859|24311643|2556735|26725216|27893038|27615706|22923433
salmeterol,153|154|367|1577,18695978|23126384|15500895|19800676|19932356|24279851|18156033
flunisolide,1565|2908|6862|367|1559|1557|5321|1544|1576|113263,22931300|21991891
asenapine,1813|148|3350|3274|151|3363|3362|3351|1812|3358|3357|3361|150|1814|152|1815|3269|3356,
bryostatin,5579|5578|25865|5582|5583|5581|112476|3559|23683|5580|5587|5588,22579485|10988359
domiphen bromide,6097|367|3757|2099|7398|216|2629,
salvicine,7155,
caulibugulone d,7157|1576,
promazine,1812|1815|1132|1565|146|147|1129|3356|1128|3091|1131|1544|3269|1813|3358|148|1133,
ruxolitinib,3717|3716|3575|7428|4352|3718|1576|10019|1441|64109|5329,26701727|31372595|24398328|21926964|22271575|24251790|21393331|26472029|26258521|18805579|16293597|20339092|22829971|15781101|16081687|22955920|20631743|19287384|20585391|21120162|22041374|16709929|19470474|18394554|21689158|23115274|22368270|25157968|22818858|24986690|24404189|22422826|22571758|22897847|22875628|22899477|27518686|29773603|25207766|26475333|26446793|23634996|23656643|24081659|25180155
l-phenylalanine,7054|4780|2099,
pmid26609882-compound-83,3358,
tasosartan,185,
l-701324,1565|3028,
pazopanib,5159|4058|25|9212|2475|3791|2321|2324|3066|9448|3984|5979|3106|4233|5156|5467|3815|1436|2263|5599|54658|4763|2534|3845|9429|4751|1558|3480|7157|3932|6790|5747|2261|2260|5601|7525|238|10188|367|57551|1022|1576,24625776|28221861|23786770|24550739|26063633|27160228|26324075|28377484|25504632|26646755|25669829|25411163|26546620|23558953|27271022|24036042|24302556|24107802|22341567
chembl1200434,5143|135|5140|5141|136|5142|5139|5144|134|140,
vandetanib,2321|5979|2324|5156|1956|5728|3791|2534|90|25|51053|3417|1432|2475|7301|5605|4058|9448|120892|5159|5604|3064|7525|2260|324|238|695|11183|472|3845|9212|3932|558|9475,25910950|19029224|27683183|25122427|15184865|28447912|27825616|27803005|26686064|26578684|20811697|24433361|11351254|20368568|19255327|18541894|21455200|9681850|23056499|22025146|20065189|21422803|25157968|20847059|20943719|9839497|18073307|21470995|20124951|18681783|14990633|16467544|16377102|14990632|18784101|16257339|18003960|23022519|11255078|19339720|18316547|12648464|22594511|25366691|8007|23533264|17|23584301|2015
dndi1417601,51053|4088|5347|29994|9682|10919|3417|5499|3064,
doxorubicin hydrochloride,672|7849|4137|6256|6311|7068|3417|6622|5467|7157|10919|7486|3326|5429|4088|6778|2099|3320|5423|317|7532|641|6275|2177|54474|9971|1576|7398|5594|4780|367|5965|328|29994,23026082|15017198
pmid29671355-compound-44,79885|3066|8841|55869|83933|3065|10013,
trimeprazine tartrate,2671|3417,
pi3kbeta inhibitor azd8186,5728|3845,25544636|26725216
ivacaftor / tezacaftor,1080,
on-01910,1029,25156567
simvastatin,116519|5465|1557|1544|8856|4313|3156|54658|22937|7056|7057|1577|9177|7364|1535|54600|2628|6262|3123|4780|3976|1056|348|1559|23435|1558|627|221458|10002|729230|3605|7170|5243|1071|367|3953|5294|11309|3363|19|23463|3990|1565|3417|387|2152|1576|54659|5360|5444|28234|9429|1244|5347,19530961|23930676|24598718|23252946|22931300|16436088|16158080|16680159|18663903|10543307|17563401|18815589|18332269|16103896|18261733|15199031|17192506|18695978|17289397|26164721|16321621|15284534|17600820|15936011|25493567|27839692|25753936|17928392|16797728|16955753|10736278|22594507|25504632|18047562|21458191|30304062|15781755|18203812|10720627|15616150|17931083|15856070|18854995|14625131|15337692|20031551|19802823|19891551|23166513|19027114|18302447|11566255|18430057|16238680|19904013|19842935|22186618
hydroxychloroquine,7124|7298|5743|3552|51284|351|1565|494514|54106|7098|2539,9002011|18322994|14963695|8336306|11117548|10848718|16142732
thiazides - plain,2784|6578|51497|185|6559|1636,19247266|28783044|23788015|15824464|12371972|12623934
chembl3545368,79885|10014|55869|10013|3065|83933|8841|9759|51564|3066,
sb-0304,4985|4988,21978284
ga201,3845|1956,23209031
imatinib,5156|5979|5159|57396|4233|4914|3815|1728|1436|613|2952|25|6580|9429|2139|92241|2444|2322|1956|4067|4771|2810|10018|81608|1576|4763|4088|25989|1572|6583|7525|5155|238|4609|1499|3932|959|4835|6579|8534|780|10320|6517|2120|1555|6584|673|10941|1029|5243|5244|5583|27|1544|1244|3654|10257|3845|5602|3717|57551|332|4089|6573|1577,15928335|15685537|22718859|16638875|15146165|12949711|26130666|25157968|24132921|14645423|16954519|18794084|22745105|28514312|30237583|11526490|18971950|22148584|24681986|25188725|18398725|29427770|30713339|28762371|23223357|24589908|19584153|15805252|24123600|18981009|24322003|27125982|18795925|15790786|21689725|26316776|27370604|24317392|25673643|26687836|15236194|15201427|27980106|12481435|25015329|28611108|19861435|25594040|21969494|28196207|24419427|25003536|23567324|25239608|19812602|20372153|12374669|18751412|16015387|16462496|16751810|23582185|27777285|28334365|15345593|22323597|21690468|18955458|22261812|16624552|18421059|18955451|17259998|21642685|20537386|26758680|19075254|15930265|16775234|24367893|12623848|18191450|25686603|25207766|22371878|12476305|15194504|19509233|2290085|21962576|24223824|18094422|15073101|23835704|26703895|24186319|16960151|32068648|23127916|22875622|16970400|22426421|15517875|26861905|16741250|22494098|21633340|19755855|21818111|12944919|12660384|25658984|14504092|24456122|30044693|16707477|17555450|24293093|27924459|9438854|21159146|20088873|24045550|18936790|7530509|19164557|15972446|16384925|18024392|11276010|18986703|23375402|18980976|22357254|17372901|22504184|24687822|16908931|19175693|16912224|15930355|23775962|23714533|19671763|16046538|22932406|17363509|22355224|16731599|22114577|21953054|16143141|17699867|16434489|24186003|21224473|22328973|16357008|16254145|24433361|27426203
thioguanine,7172|5631|22978|10919|3248|9682|2625|9|3043|55270|7849|655|4780|8836|367|552859|55816|9615|3417,25962120|23377183|23377281|24141364|26590194|16041371|27530327|26878724|7384171
avastin+/-tarceva,994|5300|3620|1843|240|7422,
niclosamide,6774|6607|2475|2778|1576|7157|324|1565|6256|196|4864|7066|5315|8321|1544|3417|9367|4137|6606|1559|51053|3091|7253|6311|10919|4780,21531761|23453073
purpurogallin,390245|2597|865|246|3248|5965|2548|10919|641|2744|4137|4170|2237|7421|7139|839|840|7137|7468|328|5429|51426|9682|7134|26013|8851|29994|2139|7486|10411|216|11201|861|5423|1020|5347,
escitalopram,3358|2289|1544|627|3589|2869|2731|1557|3356|3351|1559|7166|55312|6532|127254|653|10098|1565,21614492|23859573|19641488|23142150|21107318|19365399|19590397|23221997|23733030|26903268|23926243
methyldopa,5999|328|150|5965|29994|10919|216|390245|1312|1565|1813|51053|51426|1557|1576|10951|54737|2237|1559|1544|3028|9682|641|5423|11201|839,22931300
sb-224289,7066|54737|1565|3757|1559|7157|1557,
ethanol,3990|10|1565|4524|338|5467|3689|6532|1813|5580|1571|127|222236|2149|5142|847|23396|51075|1804|9910|64116|1956|54657|2030|2915|3484|50833|4498|6416|2729|1604|775|2260|51150|2554|125|3554|152831|7082|218|857|27327|1493|3667|2671|124|4986|56899|58477|55902|6505|5464|2693|1138|1136|253559|1385|80339|7099|79068|7732|1103|1137|2353|816|1393|7052|2668|216|217|5460|4922|1437|2950|219541|2646|2524|9498|4502|7038|126|4780|80731|1841|335|255239,7163806|12071337|24611668|15894672|8576634|12641735|8803617|31595439|12749054|1744136|29588096|26049587|15902904|25514903|3610585|17302558|16930224|32451486|10092515|2502039|15258586|15717208|11894976|9372231|10385658|1839129|1969501|1979357|27447243|10490697|8033754|17989061|22798433|11054774|29236941|17383432|31634677|16478533|18355758|16571603|23240771|16272348|9952110|15909415|12652939|14987799|15845868|11025487|7526037|15745088|14627336|31462767|31002879|28550509|14574224|10349738|18828808|11181917|30132178|11431739|12805289|8247273|3996882|16750178|15242787|9756045|21039637|10801782|10550003|8986223|16112835|9023306|1733422|1686369|16272341|1302037|1733046|8289752|14693654|18759561|16679777|11923581|10956052
us8791257 - 17,1459,
pyrazolo[1 -5-a]pyrimidine derivative 17,4914,
bdbm50158803,5927,
anti-muc1 mab,4582,
biochanin,1557|4864|6607|5594|6606|1576|1565|79915|9367,
r(-)-apocodeine hcl,5893|3757|54737,
osi-632,90|5601|25|2534|4058|5159|84446|1432|6725|1969|9748|3932|9448|4140|6714|5979|5753|7525|2260|4233|3791|2444|6098|640|2261|558|5871|50488|4067|3702|5261|9212|2321|238|2011|2241|6790|10733|57551|11183|5156|2324,
agn-214868,150|152|151|148|147|146,
antiepileptics,5243|1636|6323|1244|1373|6326|1559,15452306|17125969|16386926|17306068|21747585|19450124|22630058|22188362|20417680|17521963|16004559|16542858|16753003|24300029|12686700|15857428|25458099|21391884|18812236|24444405|23859570|22591328|22292851|25155934|21561445|21449672|27816260|24624913|22256867|23697249|24567120|21799461|20456087|18784617
purpurin,10951|5965|3028|328|5300|2648|672|4137|5347|3248|3417|246|9682|7398|390245|11201|7421|5594|5429|2237|51426,
naphazoline,1813|1565,
triazolam,2569|2557|55879|6046|8850|676|2556|1387|2561|2564|2558|2565|2555|2560|2562|200959|2559|706|2570|29994|2566|23476|2554|2567|2563|2568|8019|55193|1576|1577,22137933
casearinone b,3683,9322361
amg 595,1956,
pyrene,3028,
fluocinolone acetonide,367|2908|5321|7124,16454812
mebendazole,7846|10383|51053|1544|203068,
phenylephrine,1813|3684|581|146|147|1812|4914|5294|148|154|2247|7450|3308|4842,10973693|10220693|7567780|8928748|15662223|15743931|26771271|25730298|15875663|16996954|8047983|12124213
vesnarinone,5139|355|7057|3757|7157|1576|4907,9226479|15356428|7750082|9630823|9133521
propachlor,5467|367|2099|3417|4780|7157|216,
pmid28092474-compound-32i,10013|3065,
nsc-7387,7486|5347|10951|11201|7421|5429|9682,
phytonadione,2677,
chembl1201023,9|2906|116444|6336|6326|2902|6323|6332|2905|6329|3269|2904|6334|2903|6335|6328|116443|11280|6331,
busulfan,1491|3683|1576|2944|25|613|2581|2539|7066|1559|1544|1557|132|1555|2938|1565|2950,27779248|9389690|22931300|23677058|2034480|8101401|2635153|7742532|24165757|6317371|24192117|15779864
pyridine-2 -4-dicarboxylic acid analog 3,390245,
chembl1742420,1241,
chembl315985,6329|6335|6332|6336|6334|11280|6323|6331|6326|6328,
pyrimidine benzenesulfonamide derivative 2,8564,
skf-105809,240,
su-4312,216|4864|9367|10951|6606|4000|79915|6607|54737|4137|10919,
pravastatin,4524|19|28234|387|4313|3156|7099|1244|9376|5243|3990|221458|1576|3123|3558|29881|338|1071|4314|8647|11309|9510|581|10599|9177|9429|4547|348|4023|3363|3553|9356|1636|4842|3949,18622257|19673941|20031551|25502615|23166513|15842807|12742999|17047488|15616150|16103896|16115483|20403483|18222353|18222355|20215968|17615423|27839692|16051523|19752398|8312689|18957472|14660992|15044381|9420339|15856070|10190398|18174457|16540096|16678544|17600820|17563401|18815589|18332269|18261733|15199031|17622941|15136504|19842935|19667110|17289397|14515062|11545752|10636265|12695469|15126084
sanguinarium,4790|7421|6311|5315|246|6002|5467|1557|367|7066|4088|7157|3028|5594|2648|247|2744|6778|1576|1544|239|4137|10919|5999|3064,
tak-041,124274,
selumetinib,5604|3265|5605|4286|5607|673|4763|238|2064|6794|3845|5290|23152|4893|5608|2776|2767|2146|7157|2260|472|5609|6714|999|4233|4771|2263|5728|6016|2065|5606|6416|55510|2261|1956,26544513|27222538|24185007|25394791|24971884|27821489|26272063|26351322|26438159|26666244|27231576|23200175|22271687|27655129|24935174|26676756|24939055|25870145|19029981|27556948|26232337|27422710|26725216|27312529|22952903|27480147|26125448|28492898|25322874|21358673|26137449|28178529|26343583|23406027|25199829|21985784|22392911|22550165|26619011|2549426|22808163|24141786|21083380|21444680|25157968|1328859|22733540|22425996|27922010|23515407|22197931|22327936|18632602|19915144|26582713|24448821|22048237|23942066|24265152|26461489|27196754|27217440|26251290|25952648|26359368|19755509|24469055|31151904|24685132|22653968|18719078|22253748|19078957|26324360|23444215|24899684|28029918|27287717|28416483
chembl1201134,1181,
gtf505,5468|5465|5467,
nicardipine,10951|5243|627|5617|6311|1812|775|367|3553|1576|10919|8856|79915|2475,10748141|1910948|1888883|9187528
chembl1255840,2903|2905|116444|2902|2906|2904|116443,
rpl-554,5142|5139|5140|5141,
tanshinone iia sulfonate,7421|3028|1576|51426|672|641,
sodium tetradecyl sulfate,5624,
cudc-101,79885|9759|8841|51564|10014|7525|1956|3065|9734|2064|55869|10013|83933|3066,20388807|25107918
mestranol,1557|1559|367|2678|1544|2099|7252|1565|183,22931300|6744303|2425513|3023023
ovine corticotropin-releasing hormone,231,
temsirolimus,5728|2475|207|673|5290|3845|2064|7428|55294|4771|1956|5243|1499|8856,11504908|23674493|27016228|24323026|21216929|27893038|22271473|22245973|25527417|21289267|16341243|24360397|25878190|24470557|19706758|28676933|26725216
immunotoxin,2670|2346|590|933|51083|5599|1437|4852,17267125|15287089|10198815|15897589|9189270|16648577|7670112|9303524
zstk474,5295|5290|5293|5728|5294|4352|3717|673,26137449|24251790
chembl2107067,367,
nsc-348401,1557|7486|6311|7849|3248|9682|10951|11201|5347|3043|5429|1559|216|641|3417|2778|839|7421|3028|3091|2237|29127|51426,
gnf-pf-67,3417|2584|387129|3064|9682|6311|4088|2139|10919|8438|390245|4137|23081|5429|840|641|51053|7398|26191|2597|7157|4780|1845|11201|3326|79915|5778|834|3320,
dasatinib,25|1969|4921|3791|558|5156|2534|673|1436|8289|3815|6777|5605|3265|5604|6714|4763|2260|867|5159|6725|1432|8444|10188|27|5586|23235|50488|90|5467|4088|9748|3417|7157|324|3932|613|4233|3845|7525|10733|5753|1956|3418|9429|10006|4294|5290|8476|51135|2066|51053|3055|7006|3717|11183|2242|2261|57551|6850|51776|9212|2064|1399|367|1441|695|3984,20360610|15928335|15685537|22718859|16638875|15146165|12949711|26130666|25157968|14645423|16954519|18794084|22745105|27364904|27222538|32092139|21953054|17372901|19671763|17699867|16434489|21689725|24045550|19164557|15972446|16384925|18024392|23149070|18986703|22504184|16912224|18559612|23714533|22932406|17259998|21642685|23582185|16731599|23696637|26703895|29133777|22328973|23932362|18938156|26619011|21483012|19010912|23833300|19238210|22310681|19537845|18186519|12068308|22649091|12460919|12460918|20350999|21129611|19462975|25835317|14745431|15256422|23676790|11853795|20697894|19466505|20367437|15381060|21895409|11964322|24456693|18615627|14559829|21562040|21505103|19652056|12399961|27231123|26855149|25207766|20473900|26483207|27582545|20956938|28416483|24322003|25594040|16397263|17684099|28280091|26725216|23242808|26758680|19098899|27154914|22591714|20537386|15705718|19779040|16775234|24367893|18191450|25686603|18818391|16772610|19010823|19861960|18047674
menadione,1728|2158|316|154807|10919|8858|641|2677|7421|7157|4128|367|2159|6311|5467|5624|2147|4835|79001|1557|4780|5627|216|4137|1544|4129|3043|1565,22071524
dual igf-1r/insr inhibitor bms-754807,673|3845|8660,25527633
quinoline carboxamide derivative 7,706,
as-013,5731,
kml-001,7015,
chembl2108557,3791|2321,
cediranib,6714|2324|3791|2321|5159|2260|673|2263|9212|2261|3815|9448|50488|2064|11183|11200|558|2534|10733|5979|5753|25|816|7428|25865|57551|4763|5605|9748|2241|2444|5156|675|90|1436|4067|5871|4058|6850|640|672|7525|6788|238|4486|2066|3932,26461489|22238366|25589496|26802156|25218906
dichlorphenamide,759|760,
lik-066,6523|6527,
loteprednol etabonate,4780|2908|367|301,
candesartan,55111|185|10019|84444|1636|1585|3777|442038|10888,31327267|18594050|11593098|12065207
cyclic peptide derivative 1,4128|1776|4129,
chembl1201464,3973,
sulfamethoxazole,2539|2729|1559|2944|1576,22824134|11186133|11191886|9187528
lisinopril hydrate,10919,
gold-complexed thiosaccharide derivative 3,6774,
pmid26004420-compound-wo2014150132b,3758,
sj000019194,3248|8912|216,
chembl2062265,3352|147|150|152|148|151,
taberminogene vadenovec,2321|2324|3791,
chembl3545339,3791|2321|2324,
resorcinol compound 2,7299,
diphenhydramine hydrochloride,3725|3757|5594,
ranitidine,1565|3274|1559|5319|5741|5243|1557|1544|3308|2157|1576|2922|796|10919,22931300|10383521|3878237|2864665|9862768|11523209|2120016|8607506|12495560
ns-398,1565|5999|1557|216|1544|5743,21775152|19172146|16480277|25453792
nsc-175743,26013|9682|29994|4137,
chrysene-1 -4-dione,1559|7157|1544|216|10919|1557|5594|3248|7421,
gnf-pf-3438,51053,
benzyl amine derivative 1,9622,
pmid28350212-compound-15,51107,
benzquinamide,1128|1129|1131|1133|3269|5244|1132,
gamma-interferon,4914|596|7038,8144393|8572591|9687151
chembl2105762,1803,
nsc-106547,2237|5347|6311|7251,
chembl1201187,1234,
