drugName,entrezGeneIds,pubmedId
insulin human,5122|5126|3643|3490|1509|5925|4036|4856|94121|1363|3480|3416,17016423|17139284|17722952|11752352|12970169|20230616|19683471|12038982
tenecteplase,5054|5340|811|5329|821|5055|2243|302|4035|3856|7123|4353,11163592|14564902|17963464|19436656|11752352|18673235|9359841|12210068|15231724|11447759|17141398|7958159|3091604|10578524|12730231|15194650|8344937|1378833|16303771|9988531|8810346|8760360|12694198|17853709|9034981|16650886
menotropins,3973|2492,17016423|7872378|17139284|14680547|11752352
interferon gamma-1b,3459|3460,11752352|17251453|17618444|17239631
interferon alfa-2a - recombinant,3454|3455|79068|3106|2263|3620,15898717|18230610|25367448|12873589
desmopressin,554|553|552|5021,11752352|16333859|18761325|14971638|18655906|15613460|10731046|10594321|8957254|24874785
coagulation factor viia recombinant human,3249|2159|2152|7035|2155|2677,17016423|17139284|13801371|5969560|14227143|13713641|13621053|1586032|6658368|11238112|12974870|8700900|7559599|11772005|16370916|10388743|15907148|11735107|12525826|10901669
oprelvekin,3590,8676079|11570967|9310465|11012177|8637716|11752352
palifermin,2261|2260|2263|8829|2264|3339,7680555|11422746|10821861|11149756|7890137|10212269|10950949|9890894|11091737|11714710|17728847|9056643|10593896|16390600|7499435|16854582|17456767|11752352|9094999|7526860|9843417|9755102|16989989|9788974|14753849
glucagon recombinant,2740|9340|2642,17475961|17498508|12529935|17534934|11212269|15817468|9990065|17016423|17139284|8144028|17623014|17462598|8020989|17479245|11752352|17620721
aldesleukin,3560|3559|3561|3558,16617454|11752352|16477002|16569767|16596189|16542139|10207608|17530023|17584597|17216565|16864089|16767920|17083048|17363735|17635814|17598841
botulinum toxin type b,6843|6844|127833,17016423|11752352|17139284|14573702|19576489
omalizumab,2205|2206,17368811|15356552|17016423|17139284|17073688
lutropin alfa,3973,17016423|11752352|17139284|20161981
ospa lipoprotein,7097|933,14617145
insulin lispro,3643|3480,11752352|8964871|8937933|20424816|20392809
insulin glargine,3643|3480,18585815|20424816|17922476|11752352|20392809
collagenase clostridium histolyticum,1280|1278|1281|1277,17652426|15299286|12890681|14613270|16507130|12101112|2145268|17016423|17139284|12535212|15659034|12855673|17440987
cetrorelix,2798|3973|5054|3329,14605254|11752352|12606421|11854630|14561652|16809153|17016423|11943741|17139284|16391860|9805247
adalimumab,2213|716|2212|2215|715|713|712|2214|714|2209|7124|9103|9474|3824|3123|514|1401|5788|7185|7018|3713|3133|7132|3569|3077|55054,17016423|17139284|11752352|14532145|12044041|15046527|15200343|15022409|27096233|26453102|26307125|25823785|24667440|24048425|27044681|20309874|23007924|27115882|29192552|22480748|24253594|16720636|16909270|23057546|26244882|12847678|18050183|18713756|19365401|22760475|24192118|17343250|22960943|22129793|12190096|18438841|25712183
somatropin recombinant,2690|5618|1277|1019,17133434|16965663|11752352|17128263|17082603|16917171|17317019|2270485|17279774|17395896|22026923|23567489
abciximab,2213|716|2212|2215|713|715|3674|712|2214|714|2209|9103|3690|7448|2244|2243|2266,17016423|17139284|19499855|12749745|18510478|11752352|17441904|11588534|12165285|17160551|20938371
drotrecogin alfa,2157|5627|5054|5269|10544|2153|7056|1356|2677|2147|5104|5196|1812,11752352|18954704|9184404|1828915|12062545|3160800|17566522|14515185|11259926|12004248|17016423|17139284|15118520|12353077|12871285|9529319|12030642|11236773|12004250|11714212|11893230|1660324|15252033|2836377|11804648|3039877|10463819|12208873|12070133|12296618|9620917|8391599|10456457|7769227|12671072|15118525|22310353
gemtuzumab ozogamicin,2213|716|2212|2215|715|713|712|2214|714|2209|945|9103|5371|1571|1111|116085|6820|10599,17016423|17139284|9649182|7509291|9815888|20564405|11342449|10942240|11249747|11432892|11410481|11752352|15187030|22584460|12576328
alpha-1-proteinase inhibitor,1991,20521180|11752352|16773239
interferon beta-1a,3454|3455|6095|3456|3123|90874|26130|3117|4155|2272|3106|3664|332|965,12034032|10049744|11747625|16912135|31649263|27020477|27001119|21502966|10932275|30013178|12117359
pegademase bovine,2885,9299436
human serum albumin,259|348|6288,15452109|17141733|16554356|12860569|12887764|17553935|17016423|17139284
eptifibatide,3690|2266|2244|3674|2243,14618072|14617694|15860200|12928738|10592235|12360110|11588534|20938371
serum albumin iodonated,259|348|6288,17016423|17139284|17378158|16441928|10361047|9200475|10903648
infliximab,7124|6348|3123|2212|7132|7099|3593|6361|7133|53919|3133|7185|632|2214|3824|3713|514|3553|3569|5788,16622728|16456024|15674127|15804598|15691299|17642244|12110154|16052578|11752352|15481318|15691217|16219708|25823785|24667440|24048425|27044681|22480748|12847679|29192552|25850964|18565259|25537528|22129793|25493569|23651021|25403996|16720636|16909270|23057546|26244882|12847678|18050183|18713756|19365401|22760475|24192118|17343250|22960943|25311255|12190096|18438841|17673491|15695296|23007924|16130441|19005160|25823782|26453102|26307125|24253594|20309874
follitropin beta,2492,8319832|8070368|11299519|18020563|2108722|7755615|11752352|21121812
vasopressin,554|553|552|627|1869|6869|1576|816|5054|3315|4880|7060|5587|1432|1843|1636,17287200|17020465|11752352|16333859|16563128|17027167|16114100|15993108|16720725|17284170|16011575|16532916|17303660|16511036|17275806|16457953|12063292|18195491|18431272|15845548|7482412|9925748|9794722|18541142|11514571|10679516|11029753|9231829|6289972
interferon beta-1b,3454|3455|3559|3117|3664|90874|2272|965|3558|26130,10049744|11752352|9762669|21502966|30013178|27001119|9628465
interferon alfacon-1,3454|3455,17016423|12528473|17139284|11752352|8836913
hyaluronidase,7040,9850732|11327694|7648625|9435505
insulin pork,5122|5126|3643|3490|1509|5925|3118|4856|4036|94121|1363|3119|3480|3416,17016423|12136131|17139284|17097861|1435788|9662053|8666140|17221210|11752352|12970169|12038982|17475416|10383131|11089538|11779865|9130467|10229502|1701386|8200980|9458118|11006709|10084601|12149257|8622864|17018843|9051350|9773776|16831872|15028737|16216924|12588113|2481446|9452465|1612232|1728861|10592235|9846170|9582514|7476290|8504733|13560210|9643444
trastuzumab,2213|716|2064|2209|1956|713|712|2214|714|2215|2212|9103|715|2065|60490|4233|2100|5290|5241|301|332|5728|324|3845|208|4072|3082|2099|673|8289|580|3458|9025,17016423|17139284|11752352|17660958|11098307|18690878|9435876|17363544|15471859|14666732|15680154|16109421|15868915|17704420|23680147|27900589|20504363|16091755|31453370|22257673|30452336|26598547|11248153|27108243|18555254|26296355|22149875|29523624|26874901|25601188|20728210|30857956|19289619|23204226|15911866|29320312|25693012|29146401|25370464|29584549|22493419|27697991|26243863|16236737|20124187|26432108|21594665|19010894|20453058|22294718|26920887|22850551|18089830|30071039|26619011|22908275|25157968|23220880|16397024|18347005|21109570|17936563|21676217|26759238|24470511|28784859|27140927|26880266|23801166|26469692|24691421|24606768|24982373|17679724|27626067|23948973|28167203|23940356|24742739|28539475|26245675|19874578|21558396|24300914|22842582|15655555|19840887|2013|21107682|26104654|20975068|26099744|20003286|2605|12525520|25199759|20813970|15324695|16404430|15236790|16596213|9788323|17693647|15297404|25953157|16452223
rituximab,2213|716|2212|2215|715|713|712|2214|714|2209|931|9103|3569|2938|5243|3558|6387|10563|7040|7157|8378|331|3586,17016423|17139284|17324336|16609067|15659493|16825493|17475906|16109421|12874252|15448014|20350667|11752352|20350663|26384320|29938344|19448608|16971809|23645042|25637052|27173875|19018870|26167726|23505228|30457672|12975461|22129793|11895917|15813920
basiliximab,2213|2212|716|2209|715|713|712|2214|714|3560|2215|3559|9103,17016423|17139284|11840795|10188761|12826150|10708100|12667677|11752352|16908318|12591363|9695721|10512062|10567956
muromonab,2213|716|2212|2215|715|713|712|2214|714|2209|915|917|919|9103|916,17016423|17139284|10851527|10851498|8861551|2503348|11752352
ibritumomab tiuxetan,2213|716|2212|2215|715|713|712|2214|714|2209|931|9103,17016423|17139284|11752352|11879282|10541376|12011122|11418316|20113680|15045033
tositumomab,2213|2212|2215|715|713|712|2214|714|2209|931|9103,17016423|17139284|11752352|11879282|11418316|12899647|13129395|15023434|14748653
pegvisomant,2690,17322491|20595800|11752352|19820031
botulinum toxin type a,388|6616|796|7442,15140914|11752352|16831062|15222581|15749336|15484814|14644446
streptokinase,5340|2149,11752352|10631997|10581996|10569766|10664583|10726310|10666203
alemtuzumab,2213|2212|2215|715|713|712|2214|714|2209|1043|9103|6387,17016423|17139284|15217834|8707338|9337053|9020367|11752352|10744652|10520035|10573085|19479612|10092828|10366506|19343298|27173875
capromab,2346,11016653|9508077|9792131|11752352|15882479
cyclosporine,5478|10105|819|5535|7369|5530|1559|2214|6915|4363|1557|3001|8378|5447|5243|3615|8647|6311|1244|1544|94025|6934|2215|3586|1493|1576|5244|4780|9429|3683|7124|290|8856|1565|54576|3689|1551|3716|200186|7172|7412,16641261|20368803|17609268|20637127|16849427|17461417|6238408|17016423|17139284|20927389|20674565|20602248|28418009|22931300|17852453|1385733|23017888|8420038|3389144|29135906|24658827|24061445|21348461|24720452|17964170|11754602|24992153|21996196|19770842|18444945|19617864|22960765|23129211|12169874|23041303|21857094|18021981|1972761|21488686|14550820|10515383|23922006|18334915|24088131|21806386|25536375|17206635|25240575|26107754|18576903|12966368|18717915|20030680|22886152|25163792|28624888|2337986|19933795|20565459|9777701|28952408|22101135|26644205|16044099|15476481|7694584
alefacept,2213|914|2212|2209|715|713|712|2214|714|2215|9103|965,17016423|17139284|11752352|11970990|12795770|17403057|17555598|14968366|12795239
felypressin,552,17016423|11752352|17139284|18655903
urofollitropin,2492,8319832|8070368|11299519|2108722|7755615|11752352|21121812
efalizumab,3683|2212|9103|2215|715|713|712|2214|714|2209|2213,11752352|19170413|17053736|17016423|17139284
chorionic gonadotropin (recombinant),2492|3973,9027352|20374735|11752352|17059863|12606382|15967102
anti-thymocyte globulin (rabbit),3683|2213|909|920|3140|3688|3685|942|3690,12586600|17016423|11752352|17139284
filgrastim,1991|1441|2064,15353486|16245075|17475913|14657210|12393522|17311988|17127322|16033816|17494858|15949269|17001306|16549824
coagulation factor ix (recombinant),2157|2147|2159|2160|4035|2155|2677,12719776|14598591|659613|12826528|11150722|16476097|10499905|11019961|10498586|10499904|10648407|11752352|8083242|9079657|10933803|10919405|1391956|11342438|10593931|17016423|17139284|12522212|10938981|10192655|10617609|10381508|8506307|14660587|9115224|9141486|9748333
becaplermin,5156|2|5159,7665222|1702511|10070317|12632922|14506245|7541796|1697862|18686746
octreotide,6755|6751|6752|5291|3484|4353|354|9170|4771|5294|7038,16809928|16625841|16086874|16438887|16625842|15103227|16223973|19537708|11752352|16452215|9512248|7525123|15003363|7515212|8566856|18624922|14530610|12721506|18198230
interferon alfa-2b - recombinant,3454|3455|79068|3704,17016423|11752352|17139284|10567921|7584665|25367448|21503919
abarelix,2798|354,16985933|11342922
oxytocin,5021|5020|5599|553|554|581|2641|552|2516,21208749|18655883|20104850|20108008|15646817|17016423|6687626|1486803|11566737|15590985|12069935|8108428
natalizumab,2213|2212|3383|2215|715|713|712|3676|714|2209|2214|9103,17016423|17139284|11752352|17461891|16268663|9389694|16634035
palivizumab,2212|9103|2215|715|713|712|2214|714|2209|2213,17016423|17139284
daclizumab,2213|2212|2215|715|713|712|2214|714|3560|2209|3559|9103|3558,17016423|17139284|2335478|1835892|8097750|1900882|2415663|15814281|12372041|11752352|2571203|2647626|15022409|1828823|16908318|10607689|19788505|17564638|8600944|16304857
bevacizumab,2213|2212|2215|715|713|712|2214|714|7422|2209|9103|5654|7424|673|7852|5290|4763|7428|387715|6470|3845|5578|7157|11320|3815|4771|7058|3417|4524|2638|8836|7423|1956|3326|8490|2064|3576|3265|4233|4318|1906|4313|3075,17016423|17139284|11752352|15705858|22594510|23559864|23842101|23337555|20124951|21216929|27503580|27893038|23940356|25363205|24232489|2485933|22044939|23828442|29871907|27466356|23670029|17145525|26222057|26022982|19587327|22805104|16365183|26762204|29662106|20634689|19307503|29208668|28408243|25069475|27139155|23149126|26100253|23953100|20125120|25955730|26432108|23584701|15998951|19571295|19603024|22180495|18182667|16827904|22931246|26965451|26921265|28632865|26439641|23204795|22840423|24070809|26411831
arcitumomab,634|1084,9389396|12865871
pyridoxal phosphate,1491|64902|2572|18|6898|2806|23464|285313|55163|5834|1644|2805|2571|6472|51540|79896|4942|9517|189|51091|5837|29968|2875|587|51380|211|51166|4953|63826|11212|6470|10558|113451|586|8942|23042|113675|2731|8879|55304|10841|339896|56267|85007|55034|84706|57026|10993|883|3067|9054|875|5836|212|2147|1571,17377202|15184188|11578145|16857832|15823094|17016423|17139284|7592550|6703688|16538088|17531224|11108513|12021103|11034389|15723541|16096275|14567543|14534310|11752352|16570355|16466641|12441383|12798391|16902803|236311|11318637|10592235|16207494|15772097|17216302|17032564|6983619|20403077|7567987|11085948|16075246|10978228|8499653|17918169|15561708|11279212|12782147|11781309|11726713|11171191|11481605|17194211|11052666|11508701|12460107|12217700|11228757|8695645|16532449|10024454|16847354|12686111|12383475|12544342|11330835|15347780|14688239|12537583|16179747|11888303|16925884|12167474|11340119|17482557|16980404|11877399|15865438|17651438|15070923|12686158|10577279|7275938|15016471|12126930|11683631|12460114|15476392|12672797|12627959|16185077|15306409|12560076|16289454|12596860|11980912|16997906|15583399|17305368|11168717|15381280|12535612|11488610|15686475|12067524|12204580|17300176|11985583|14756555|16971151|16228305|15791207|15522238|11377878|12679420|11709201|15965967|16784786|11886751|11553608|241701|12191993|15251194|12699240|17469798|15840827|16336786|14522954|16336194|11000053|14596599|15689518|15155761|16580895|14646100|12850267|16463021|16846239|16790022|16547811|12196163|12119030|12860127|17469805|16310786|11948191|15196993|12644499|15365998|12173932|17705025|14724775|16763894|16121195|3143355|7526359|9305893|16770646
cyanocobalamin,4594|4524|4552|25974|4548|166785|6947|5243,17011224|16305240|16813422|19904199|16281286|20589617|11979347|17024475|17611986|16268464|15979034|15612980|16714133|16843692|17431913|16311595|18709879|16697227|17016423|15523652|17139284|29662106|20634689|19307503|2876185
tetrahydrofolic acid,10840|6472|275|10841|4522|4524|123263|471|10797|4548|6470|2348,16712799|16627483|11320079|10585460|10395731|17016423|17664250|17139284|15090517|10329787|9677387|11488596|10673422|11323021|12937168|12949177|16171773|17533396|17636160|16950805|16929515|10781559|12974624|11948179|9449840|11737206|17142057|11386852|17651438|10978155|9730838|11169015|11237340|9398303|11752472|10592235|10893069|10024094|10233370|10196703|10208491|12668769|12902326|12686103|10656824|10998057
l-histidine,3067|3035|3034|10991,17191019|17075268|17227057|16790022|16960050|17150756|16741232|17193285|17191848|17536021|17185227|17016423|17139284|15843493
s-adenosylmethionine,27232|262|1312|4144|4143|875|7172,11435507|11810299|12697024|12742526|12221207|15051528|12974388|12545203|16515461|20196537|18486144|12023972|11596649|12671891|12660248|12631701|11301045|12060674|11524006|12269827|12163655|11559709|25303295
pyruvic acid,9194|23539|64902|18|6566|9123|9121|5091|9120|5313|5162|5315|6567|9122,16604139|17556391|15953344|16766717|16597615|16514190|17016423|17139284|2632679|16435204|11752352|17355287|17583564|16110503|16326938|16213084|17606506|16765071|17008113|16505973|16575559|16740637|16365052|17574881|16720364|16644726|17547515|16855207|16132722|16375581|17308100|17587357|16741870|17275903
l-phenylalanine,23428|5053|2193|10667|6898|10056|7054|4780|2099,12101005|12498902|10574970|12930836|9349567|2975336|12056888|10203136|9642259|12379147|17016423|17139284|16969782|16338408|2890101|16666560|9356140|11299302|11752352|6621777|12565907|16581181|1973034
biotin,5095|31|56922|5096|5091|32|3141|8884|64087|3416,17016423|15623830|17139284|12385775|9311592|16545081|16636450|17468269|16460018|16707089|16773504|14997352|17297119|17008113|17478118|17659996|17316367|17477831|16772434|16359899|17056793|17038304|17374649|16749865|17135299|17254330|17266990
choline,43|5337|590|162466|9468|5130|5338,17139155|16302752|16297435|16456188|16565162|16179605|17390078|17329059|16376069|17636231|17016423|17139284|15798219|17184542|17218027|16921342|16459925|17627030|16878701
l-lysine,6545|3735|6541|6542|84889,17016423|15746185|17139284|17425721|17560369|16953616|17158446|9614060|14523001|17042743|12475743|7499219|9079705|16406639
l-arginine,113451|6541|384|6545|445|435|4843|84889|4846,17287563|17025265|17653850|16703907|17363779|17329401|17427197|17325243|17065601|16801455|16979358|17210712|16809898|16787144|17354225|17198704|17611150|17651442|17513437|17362916|16778961|17340133|17513447|17234578|16729278|16720041|16717106|16690332|16682803|26385052
vitamin c,8985|8424|5351|5264|5352|112399|54583|8284|221120|112398|55239|1621|3938|5066|64175|79676|121642|55214|10536|54681|55217|9963|5033|358|7296|3315|2539|9962|1147|54600|2697|5320|1869|1019|3308|80781,17016423|17139284|10709635|6432788|1962562|17100196|11752352|17627521|17627474|10947967|1894598|9505234|10592235|16773376|17002377|17570561|17008880|17645691|17258485|17541511|17664139|23913015|12473058|11418378|1138591|11120850|9834927|16448880|17573441|16640900|16944783|12927909|12792883
spermine,4953|54498|6611|836|10919|1812|835|1557,11408092|11413269|10698696|10712236|11160858|12727196|11258887|12141946|15133083|12477380|11950995|11040105|14508504|21318872|15459188|16651710|21318891|16515550|21413019|18366176
l-aspartic acid,440|2806|8604|4069|443|2805|95|122622|80150|91703|6505|444|1615|445|6035|159|55157|790|10606|10165,17016423|17139284|10592235|823072|261660|4404056|17237342|17213189|17151801|17497669|17275978|17219235|17254025|17194761|17177147|1284246|17663137|17346885|17389249|17535962|17545671|17328883|17168267|17442055|17244260|403177|6785382|10562565|8313877|16597625|2791302|15588718|17869551|15500910|17929831|7825060|17591776|17354380|17228780
l-ornithine,2628|4942|4946|10166|4947|6541|384|83884|6542|6545|51686|383|5009|84889,5335895|11691635|17139284|7173402|17016423|16179747|17197567|15616821|16916800|16354653|15009201|14759633|16940241|15491978|16703566|17065601|15548540|15539552|15753084|12874210|14871882|11997094|12948741|12679322|12679340|11971019|12589193|12446178|12135320|15766270|16585758|12399499|9079705
l-glutamine,1503|2752|5471|3481,17137369|16427816|17331943|16547651|16326016|16382338|16484281|16530878|17355124|17355125|14746834
adenosine monophosphate,5564|5144|5142|84532|2203|3094|5565|1385|5292|5562|132|107|55902|2180|5836,16634986|16642960|16620308|16518831|16513051|17088426|16843095|17333137|17016423|17139284|7809062|18650089|17217311|17337452|17158446|17324065|16879221|17083486|17122581|17300755|17167165|18560757|17065073|11752352|17229090|16895552|17497934|17303131|16981708|17350930
alpha-linolenic acid,3992|9415|6785|7442|6546,10765977|8487621|16988497|8673626|11518758|17284757|15481543|17409318|12713571|21210105|17016423|17139284|17059813
l-serine,10558|63826|9517|189|10993|6301|875,17559874|17499824|17663143|17557831|17322298|17654249|14688104|17016423|17139284|500557|4377655|16950556|16517553|16081124|17629356|17352495
l-methionine,635|10988|4548|4552|23743|27232|5723|875|10840|1373,17350061|16920841|17389618|17513393|16396637|16823043|17114291|16540317|16789740|16917013|16618098|17222188|17052662|17615995|16788729|17079868|17369066|17101561|17016423|17139284|24651765
l-tyrosine,7054|51067|6898|8565,17520326|11752352|17604359|17451064|17578016|17561836|15840835|12754495|12097643|17139284|17016423|17389761|17401211
calcitriol,7421|690|5328|51053|9518|7038|1591|5251|3558|4609|367,11752352|15503649|15883634|18470879|17274004|21651652|10707958|333287|9933478|21418277|15295697|15861036|16210379|15739035|17763859|20716226|14685227|20500803|15864137|20727239|11450701|19647104|18827005|10320522|11158396|15849738|3139763|22285943|19309155|24818857|20452225|20883026|15386353|15319350|25148392|9835432|3492067|8490200|15598784
l-cystine,23657|11136|6519|1497,12898700|16014042|12065721|12498985|11867597|17016423|17139284|11689434
succinic acid,6561|8985|8424|64064|56670|5351|8974|6392|6391|5019|8802|6390|6389|444|7915|8801|9058|8630|64175|55214|8803|1468|10536|55217|64849|5033,17016423|17139284|11161786|10820142|17192395|17610258|15989954|16374125|17520677|16405730|16288654|17636259|16232921|15986240|15388917|17668387|16232421|12231007|10779596|16484232|15853764|17584458|17619587|11752352|16942602|16689938|16735460|16188913|16030212|15561973|15646028|15639001|16371358|15713802|10592235|16027120|16176879|15944208|16524379|17526543
riboflavin,55312|645|3028|672,16962092|16081269|21308351|15668000|16183635|17290783|14769034|16544142
n-acetyl-d-glucosamine,51172|8704|55577|8703|8702|5973|2683|4669,17016423|17927214|17139284|8294420|9722550|16857666|17010375|16674097|15489439|17229727|11948877|17349707|16011304|17565386|17292397|17203585|15736931|15449940|16157350|17370997|15932346|17414423|15112051|16349528|17576230|11752352
