diseaseId,diseaseName,entrezGeneIds
C0003873,rheumatoid arthritis,100506023|10057|10125|101927437|1021|10257|10274|10586|10628|10665|10666|10678|10745|10956|11102|11170|117289|122618|1235|1244|130540|135|1356|1401|1404|1437|1490|1493|150577|1509|151056|156|160364|1656|1687|171425|1719|176|177|1776|1803|1827|196|200734|2023|2147|219790|2212|221895|22806|2289|23228|23534|2356|23569|23643|23766|240|26147|2618|26191|2625|2638|285704|2870|2920|2974|3059|306|3115|3118|3123|3236|3237|3239|326|3290|3394|342132|3458|3486|3491|3516|3553|3557|3559|356|3560|3569|3570|3572|3576|3586|3606|3654|3655|3663|3798|3899|3934|4082|412|4204|4218|4261|4282|4313|4319|4321|4353|4520|4524|4688|471|4794|4795|4982|50943|5138|51561|51744|5243|53347|5341|5444|5453|54541|54826|54899|55289|55755|5583|5588|55937|55971|56244|5673|56901|57007|5743|5747|57705|5771|57719|5788|5890|5911|5966|597|624|633|6355|6366|6372|639|640|6441|652|652968|653361|654|6556|6583|6611|6648|6772|6775|6821|7090|7097|7112|7124|7127|7128|7185|7189|7297|7422|7852|79016|7917|79258|79722|7980|800|8013|81567|81849|8200|8320|84159|84162|847|84709|84752|85313|858|860|8604|861|8714|8740|8764|8836|90355|9052|9135|914|9145|916|921|9308|9355|9370|940|9415|9429|9474|958|1280|5742
C0003872,arthritis - psoriatic,10758|3107|3576|3593|400957|4049|4210|4843|4929|54620|5966|64127|643749|652|7124|860|968
C0002871,anemia,10533|113235|142|1437|1440|183|2056|2936|30061|3240|3440|3481|3558|3562|374569|4524|51312|538|5617|5741|57817|5972|6648|7124|7298|8797|9474|43|1021|2623|3239|3845|4928|6320
C0206698,cholangiocarcinoma,10232|1956|2064|2263|2778|3417|3418|3569|3845|4089|4843|5178|54894|55193|5566|5567|5743|5774|58508|6092|6528|7157|8289|8314|673|5728
C0206754,neuroendocrine tumors,1027|1616|4221|546|5744|673|6751|6752|6753|7298
C0024530,malaria,1012|114609|1154|1378|1401|2213|2532|256892|259197|28|2993|2995|3240|3383|4055|4843|493|6521|7124|91752|948|2212|2539|2994|3043
C0598608,hyperhomocysteinemia,113235|1674|27232|29108|4524|4552|4868|5444|7124|834|875
C0019693,hiv infections,10189|10197|10204|1026|10280|10436|10527|10574|10594|10808|10946|10980|10981|1192|1232|1524|1647|1973|1978|213|2208|22948|23198|23411|2971|3068|30835|3106|3107|3240|329|330|3313|3315|3320|3326|3329|335|3458|3558|3559|3566|3577|3586|3608|3692|3811|3837|393|396|397|4067|4150|4153|4193|4927|4953|5265|5479|5685|5686|5687|5692|5699|5702|5705|5709|5714|5719|5720|5721|5727|581|5901|5902|6347|6348|6349|6356|6387|6421|6426|64411|6556|6634|6722|6880|7203|7266|7307|7528|80273|85363|8662|8683|9230|940|9531|9861|998
C0038013,ankylosing spondylitis,100507436|101929072|118429|149233|196527|23046|3105|3106|3593|51752|5734|64170|7850|864|9755
C0010606,adenoid cystic carcinoma,10847|10933|1387|1462|1612|182|2011|2019|2033|2175|2195|221037|2264|2309|23135|23209|23220|23269|23543|23619|23774|259266|2620|2621|26292|27255|27344|284058|29072|29128|2982|3008|3265|3485|358|3645|3691|3852|3866|4082|4602|4603|4613|472|4781|4851|50805|51477|51514|51659|5174|51742|5176|5290|53335|54441|54531|546|54756|54880|55294|55534|55783|5591|55914|5605|5728|57419|5834|58508|595|63035|64324|6484|653220|6595|6605|6651|6659|6664|672|7153|7157|7403|7994|80303|81029|81831|8243|8289|8332|84159|8823|9223|93986|9454|9700|9863|9874|999
C3495559,juvenile arthritis,100820829|10769|10810|10826|10950|11252|113|1191|122416|1390|139105|146225|1493|150094|153020|157922|1612|1647|1649|1839|1843|1844|1846|1950|1958|196441|1998|200315|2017|203228|2120|2209|221037|22864|23043|23074|23080|23093|23166|2353|2354|2355|23764|239|25816|26037|27086|2766|2791|2812|283131|2919|3012|3084|3310|340205|3480|353514|3557|366|3674|3693|3725|374|3772|3845|4026|4088|4133|4478|473|4929|4973|5008|51320|51338|51741|5187|5239|5329|5352|54502|54757|55|55500|5594|5627|60685|64224|6515|6556|6774|6786|6934|694|7027|7035|7057|7130|7280|732|7324|7844|7852|800|8013|81565|8291|8339|83699|8379|84281|84441|84519|84909|84981|85413|8794|926|929|9308|9314|9334|9468|9690|9788|9873|9886|3579|23522|50807
C0027659,neoplasms - experimental,10140|1019|1728|196|2026|2064|2149|22827|25|3082|30834|3265|3274|3458|3558|3592|3593|3832|3845|405|407041|4893|5111|5621|574511|595|5970|613|6678|6696|682|7124|7422|8725|8743
C0027658,neoplasms - germ cell and embryonal,1761|1911|2067|2072|359787|4254|5460|55729|6337|6515|79923|928|9573
C0002171,alopecia areata,102723878|1493|154064|25824|2833|3559|3627|4283|55014|64375|79465
C0002170,alopecia,100188784|1244|1392|142|23328|23476|367|4524|54503|55806|6716|6832|7421|7538|8797|387|1909|4047|4953|5573|5654
C0428977,bradycardia,10911|11188|1129|134|1392|1565|1813|183|1906|1907|1908|2641|2771|2796|3350|3827|3972|4922|5173|5443|5617|6863|6869|7200
C0009447,common variable immunodeficiency,115650|1380|23495|29851|4790|4791|5580|8742|930|931|975|987|1493|10320|59067|359948
C0017658,glomerulonephritis,133|1674|1675|183|2099|213|2833|3458|3553|3558|3559|3569|3576|3586|3606|3727|406892|406903|4803|4868|5443|5468|6346|6347|6348|6351|6352|6354|7124|7490|355
C0001973,alcoholic intoxication - chronic,10150|10243|1136|1138|125|126|1312|145858|1571|217|23552|2488|2550|2555|2566|2626|2678|2693|27340|3356|347735|3972|4852|4887|4988|50833|5142|5173|54622|55213|55825|5726|63876|6462|6532|6622|6869|6870|7018|886|9095|9|28|111|113|124|127|128|130|131|150|216|222|238|348|367|410|460|627|635|815|833|847|885|1003|1006|1007|1008|1009|1010|1012|1013|1016|1080|1109|1129|1137|1142|1143|1268|1269|1385|1392|1393|1394|1496|1553|1555|1621|1636|1808|1812|1813|1814|1815|1892|1950|1956|2030|2033|2046|2052|2169|2185|2289|2348|2534|2554|2558|2559|2560|2561|2562|2565|2567|2569|2570|2571|2596|2597|2670|2688|2736|2752|2897|2899|2902|2903|2904|2911|2912|2913|2917|2918|3066|3122|3146|3176|3350|3351|3358|3359|3363|3553|3557|3569|3586|3605|3763|3839|3952|4128|4129|4155|4313|4318|4336|4340|4524|4676|4684|4790|4835|4889|4898|4915|4922|4923|4929|4985|4986|4987|5002|5020|5295|5443|5924|5972|5981|5992|5999|6303|6506|6529|6530|6531|6571|6625|6715|6716|6863|7021|7054|7086|7157|7166|7200|7262|7450|7520|7803|7804|7971|8462|8484|8644|8777|8836|8863|8910|9037|9177|9369|9531|9575|9607|9674|9705|9709|10280|10327|10399|10420|10438|10846|11024|23174|23189|23237|23469|25976|26047|26503|26523|27123|27161|27255|28232|29114|50628|51083|51194|51294|51324|54360|54970|55833|56311|56923|57001|57453|57502|57575|57817|64682|79068|79570|80731|84152|84251|85439|113201|113235|114879|152330|154215|255239|374879|387129|387357|400359|494331|594857|677833
C0273115,lung injury,1543|1544|196|1999|2252|23411|3162|3371|3569|4311|4803|4914|6347|6348|6351|7039|7099|7124|7132|80310|213
C1136249,mental retardation - x-linked,10084|11141|116442|139411|1741|186|2245|23229|2664|282808|4128|4983|546|57526|641339|65109|6535|6855|7552|7592|79742|8573|5063|7504|9203|9459|23096|254065|347344
C0038454,cerebrovascular accident,1636|1906|196743|213|2147|2153|217|2833|335|3360|3383|3553|3557|3569|3613|3659|3674|3685|3690|4018|4524|463|4843|5144|5327|5328|54498|5563|5743|6647|7040|7124|7291|7351|79001|7941|92369|9734
C0019284,diaphragmatic hernia,1080|183|1906|1909|1910|2006|2247|23414|2626|2627|2697|3170|3202|3213|3383|3479|3481|3569|362|3737|3745|3778|4036|4846|4878|64220|6439|6440|652|6586|7026|7040|7055|7067|7068|7080|7124|7345|7412|7490|8817
C0282612,prostatic intraepithelial neoplasias,1027|1786|2099|2100|2950|367|4502|5292|5728|7155|999
C0751617,semilobar holoprosencephaly,2253|2619|2736|28514|4838|50937|5727|6469|6496|6997|7050|7546|84976|8928|2260|57045
C0035258,restless legs syndrome,100188812|100188813|100188839|100302512|100302561|114781|192142|4211|450097|5443|5607|5789|643714|7018
C1142166,brugada syndrome (disorder),10008|10021|23171|23493|3752|3764|54795|55800|6324|6331|6336|775|781|783|7871|287|805|3757|5318|6327|10060|10142|23630|29098
C0013990,pathological accumulation of air in tissues,10516|348|4780|4843|5265|5520|5522|5525|636|7157|9365
C0018671,head and neck neoplasms,1050|1440|1806|1956|2195|23532|2876|2922|374|4118|5594|5595|5888|5915|596|598|6778|7039|7298|7389|7422|7517|9582
C0006118,brain neoplasms,1019|1029|113878|1559|1612|23411|238|27436|28514|3558|388585|4255|441478|5111|5444|5727|595|5970|6608|6648|6696|7052|7422
C0018772,hearing loss - partial,100507266|10788|114801|130951|1369|147372|2151|219749|221711|2241|22871|23555|285362|30820|339559|401548|5592|57493|5784|63892|64374|64478|730091|7388|91|93979|9630
C0008625,chromosome aberrations,1021|2034|2067|25913|2944|2950|2952|4297|4613|4968|6799|6817|7508|7518|9
C0023434,chronic lymphocytic leukemia,100048912|100188791|100270642|100270643|100270644|10665|11073|11262|115761|23451|23547|25797|25865|25913|26034|28444|29125|29949|3117|3394|3431|3500|355|3569|3662|3676|400997|406935|406937|406950|4524|472|4988|5027|51176|5366|5423|5527|55289|55892|5743|57476|578|59|5934|595|596|64506|64864|7037|7157|7421|8101|81037|817|8302|841|8600|8792|90427|921|9855|330|604|673|695|4609|4794|5290|5336|6209|6427|6850|7307|7514|8233|22806
C0034951,refractive errors,100528022|1146|2893|317761|388336|3908|4642|5095|54715|55748|56479|57369|5801|5923|6096|70|776|79698|9414
C0019196,hepatitis c,1234|1548|1576|23586|282617|3077|3440|3458|4015|4017|4023|4988|5788|949|975
C0025500,mesothelioma,10232|1027|1029|11186|1734|1956|1958|2099|2246|2247|2272|22827|23741|2475|2662|2719|2934|2944|324|3458|4582|4771|4831|5154|5241|54716|55600|56034|6648|6696|6850|7296|7490|7515|7517|8314|847|84700|8915|94274|999|23210|100128252
C0242379,malignant neoplasm of lung,11200|1136|123688|143187|147700|2068|55937|5893|59|675|7015|7917|81037|8626|8897|9333|2|60|100|182|207|288|302|324|332|335|345|348|355|356|475|563|595|598|634|673|710|771|780|810|841|857|864|894|900|1012|1026|1027|1028|1029|1066|1135|1138|1139|1143|1212|1291|1326|1363|1401|1432|1490|1499|1544|1545|1548|1571|1591|1612|1636|1776|1788|1796|1806|1938|1948|1956|1958|2018|2052|2064|2065|2067|2074|2099|2202|2237|2254|2260|2263|2272|2305|2353|2354|2355|2520|2627|2638|2697|2705|2729|2876|2878|2886|2944|2950|2952|3084|3162|3265|3280|3399|3423|3458|3476|3491|3553|3558|3569|3586|3659|3725|3726|3727|3845|3950|4082|4170|4233|4312|4319|4353|4354|4524|4609|4800|4843|4853|4854|4878|4968|5002|5052|5071|5111|5229|5265|5290|5444|5473|5519|5594|5595|5609|5654|5728|5740|5757|5885|5894|5915|6016|6091|6362|6414|6439|6441|6520|6599|6657|6662|6696|6776|6786|6794|7011|7037|7040|7048|7099|7124|7157|7161|7253|7276|7298|7306|7367|7428|7474|7490|7508|7850|8140|8314|8517|8572|8635|8678|8991|9046|9448|9547|9588|9592|9635|9728|9922|10063|10253|10266|10592|10863|10919|11009|11063|11122|11186|11274|23462|25898|27044|27250|28234|29108|29126|29923|51092|51363|51614|51750|55076|55259|55840|60370|60529|60673|79365|79930|79991|80157|84864|116285|153090|160492|253260|253650|400931|406902|406914|406927|406938|406946|406947|406968|406991|407007|407009|407029|407035|407041|407042|407054|442896|442914|442915|541471|574413|574434|574445|574451|574452|664616|100126327|100507056
C3875321,inflammatory dermatosis,100125288|100996324|10111|101927027|101929507|102724748|11201|1431|149233|23040|23586|285626|353135|4255|48|4843|5141|51752|54922|55770|55905|5799|5966|5980|6231|64377|64478|6586|6773|686|6924|7087|7128|81890|84162|8575|90134|91749|9844|9927
C0162809,kallmann syndrome,10371|128674|1848|2253|2260|23767|26012|3730|389549|54756|55636|55717|60675|6663|6870|81848|84634|8820|8822|9394|1630|5015|6657|6658|9915|285025
C0023794,lipoidosis,11067|1174|12|2168|26471|3249|4047|427|440|5468|55062|6319|64838|6515|6876|79153|83729|8431|9415
C0011849,diabetes mellitus,101927366|1356|1374|153|1536|2335|23411|23671|346171|3630|3667|3799|3953|4217|4508|5443|5444|5468|547|5743|5879|653361|6647|7058|847|8639|8856|9370|9970
C0016059,fibrosis,10159|111|1134|1277|1278|1281|1440|150|152|154|1588|1634|183|207|213|2235|23411|284|3162|3553|3557|3565|3816|3953|406991|472|4881|5155|5294|54974|5609|5743|5972|6648|6774|7040|7057|7124|80310|8877|894
C0020443,hypercholesterolemia,1066|1281|1489|1581|19|1906|255738|27035|3156|338|3383|348|3949|3952|4018|4023|4638|5444|6401|653361|7412|8013|335|345|949|1071|2819|3931|3988|3990|4547|26119|26228|27329|51128|64240|64241|64788|338328
C0025958,microcephaly,10059|10084|10293|10617|10733|11284|1778|2074|2290|26128|283989|284403|3796|3800|407975|4998|6513|6925|701|7283|79042|80254|80746|84879|8573|477|833|1063|1781|1788|1859|1968|2806|3376|3981|4047|6904|7468|8021|8295|8364|8884|9326|9928|10056|10479|10735|23036|23397|23476|23761|25942|29081|29980|51075|51294|51506|51569|54517|55704|55835|55906|57178|83480|84628|84706|392636
C0040411,tongue neoplasms,1410|3265|3315|360|3861|407007|5743|6648|7012|7298
C0027720,nephrosis,10763|10855|1649|1674|183|1906|1910|213|2147|3383|3689|5972|6647|7431|7827
C0007273,carotid artery diseases,183|22808|2950|3162|348|356|5328|5420|6347|7157|9332
C0018273,growth disorders,10084|10743|152330|1544|1788|1902|196|2074|2245|26277|2688|27125|282808|285590|3162|3480|3481|3483|4054|407975|43|4880|5290|538|546|554|5744|6913|701|79048|84282|867|9719
C0014553,absence epilepsy,114327|1181|2562|2566|50966|51305|773|8629|8912|9254
C0014556,epilepsy - temporal lobe,1268|2911|2912|2913|2914|2915|3749|3791|4514|4852|4887|5025|5027|57468|623|624|6505|6558|7010|7421|7422|7442|9353
C0025261,memory disorders,10280|11255|1128|1139|1813|2558|28964|2925|3115|3350|3362|3363|3481|351|3553|3630|4012|4137|4192|4282|43|4835|4852|5071|5368|551|5663|57030|57084|596|5966|6531|6532|6774|6855|7422|9495|1105|1312|9365|9863|50632|56848
C0007370,catalepsy,1268|134|1812|1813|183|2534|2641|4922|5443|5617|7054|7200|796|84152|885
C1333990,hereditary nonpolyposis colorectal cancer,27030|2956|3845|4072|4292|4436|5290|5378|5395|6224|657|7048|9209|324|472|580|960|999|1027|1495|2052|4437|5795|6597|7518|9156|11200|22909|64218|64332|79728
C0023487,acute promyelocytic leukemia,1050|1053|1668|207|2152|2322|2735|2736|3458|3605|366|3683|3684|3687|3689|406948|406950|4869|4926|5371|5573|5909|5914|64859|6608|6777|7056|7704|79718|81608|960|332|1788|3417|3418|3815|4893|6774|7490|8243|23604|54790|54880|64778|171023|359948
C0023485,precursor b-cell lymphoblastic leukemia-lymphoma,10320|1490|2120|23269|2625|5079|55729|64109|6774|6929|861|100288687
C0018099,gout,126133|2263|22900|254263|2646|3553|4296|56606|929|9429|3557|7498|80216
C1956346,coronary artery disease,10|100048912|10019|10221|1030|11173|116519|1401|1636|1952|2056|2099|2100|221692|22808|23293|23294|23564|255738|2784|28|283450|2982|3162|325|345|3654|3667|375056|3949|3988|4018|4023|4049|406938|4314|4846|4879|490|5069|51530|5444|54805|55759|5743|574447|57608|6272|6347|6387|64240|64241|64968|6581|6597|6943|7015|7099|7189|7422|80310|84439|84830|8613|9365|9518|959|335|5175|10544|25802|51129
C1861172,venous thromboembolism,100874375|10529|10544|205|2147|2153|2160|2202|2243|2259|2266|23414|23555|254827|28|29922|3053|462|5327|54014|55245|5624|57153|60676|63895|653140|6838|6875|7124|728215|728755|8089|91543|91584|9630|9727
C0032927,precancerous conditions,10188|1050|1072|10897|10975|1124|121256|1373|140885|164395|166336|192286|1948|1950|217|2305|23302|23404|2495|25|25839|2705|2941|2950|3033|307|3265|339487|3481|3484|3667|383|3856|406884|406886|406910|406937|406984|406993|406994|407017|407029|407033|407054|407056|4193|4353|442898|442903|442906|442908|442920|5037|506|51491|5245|54802|5592|5599|5601|5609|5743|574413|57628|587|595|619552|6317|64081|6496|6648|6776|693235|70|7171|7204|724022|728239|7422|79039|79879|8100|84249|847|84909|8659|91522|9446|95|9970|999
C0010346,crohn disease,100130889|10067|100861468|101927324|101929163|102723878|10745|11116|11262|114548|117289|1201|1401|144811|149233|150962|151306|157869|159296|163486|1788|1997|200728|219771|221895|22891|22904|2335|2358|2524|26191|2646|283463|284119|285626|3123|339145|345611|3458|3460|3479|3559|3569|3586|3593|3952|400757|4049|4088|4295|441108|4485|4689|51744|54106|5465|5468|54901|55024|55054|5536|55600|55765|56244|5699|57178|57606|5771|60468|63027|6347|63892|64127|64167|64170|647215|6556|6774|677775|7099|7124|7297|7332|7448|746|79722|80315|8209|84619|8477|84870|8635|8651|8807|8844|8863|8927|8929|8935|9223|9370|9635|9873|9966|9971|3717|4524|4583|6583|6584|6932|120892
C0007873,uterine cervical neoplasm,10401|1499|1956|2067|2261|2475|3115|3116|3280|4524|4851|4853|5457|5915|6774|7015|7472|7474|7528|81037|841|9582|332|595|1540|3265|3717|3845|4609|7157|7422|574503|100124700|100126335|100128252
C0013386,dyskinesia - drug-induced,1812|1813|1814|2354|2571|2643|2668|5173|5179|5923|7054|847|8787|885|9456
C0022336,creutzfeldt-jakob disease,151507|216|22926|3119|319101|3822|5621|692157|7280|780851|79644|79974|8360|9108
C0087012,ataxia - spinocerebellar,10939|140451|146057|2296|23152|25894|2672|342371|5521|5582|6310|6311|6314|6712|773|84991|2895|2911|4311|7222|8913|9711|10273|10528|51567|51741|55129|55280|57231|57410|60481|79876|200403|255928|343641|440193
C0917796,optic atrophy - hereditary - leber,100188775|3552|3553|4508|4514|4519|4535|4536|4537|4538|4539|4540|4541|4556|6121|9227|4512|4720
C0023891,liver cirrhosis - alcoholic,1281|1571|3569|4088|4313|4353|53345|596|5970|6648|7040|7076|7124|79143|80339|847|406933|406952|407050|442906|494335|574455|619552|619553|693122|693124|693174|693214|100126334|100500847
C0242488,acute lung injury,1906|335|3383|355|356|429|4638|5468|7031|7032|7040|7295|7432|847|90|9173|2052|2920|3605|4780|6441|7130
C0023893,liver cirrhosis - experimental,1036|10840|10855|114757|1268|127|1281|133|135|1373|1440|1544|1586|1733|174|183|1906|213|216|217|2173|219|2247|2326|23491|23600|2542|2645|2688|2690|2805|2875|2939|2944|3082|3162|3294|3398|3439|3440|3458|3479|3484|3485|3553|3586|3611|364|3694|3827|3856|3875|3929|3934|3952|3958|4087|4089|4249|43|4311|4312|4313|4317|4318|4322|4489|4780|4843|4846|4904|4907|5008|5091|5105|51179|51380|5159|5168|5243|5340|5443|54466|5743|6038|622|6347|655|6554|6568|6678|6783|6822|7040|7048|7076|7124|7422|7442|761|83729|8431|8630|8651|871|8824|9104|9370|9501|2|13|18|38|54|59|87|100|120|123|140|147|173|178|199|231|291|301|302|306|307|308|317|330|337|339|351|355|397|409|427|440|467|486|558|613|633|644|706|712|713|714|728|730|733|752|817|822|834|837|840|857|866|890|900|922|924|942|948|952|962|963|967|968|972|983|1003|1026|1033|1052|1149|1176|1192|1193|1244|1267|1277|1278|1282|1284|1289|1290|1291|1292|1303|1316|1326|1407|1410|1436|1490|1510|1520|1522|1525|1535|1536|1592|1610|1644|1645|1675|1807|1848|1894|1901|1950|1990|2012|2015|2028|2037|2081|2134|2149|2169|2180|2195|2200|2207|2209|2214|2219|2268|2273|2274|2280|2313|2316|2350|2353|2534|2538|2581|2634|2638|2644|2650|2674|2697|2701|2710|2744|2771|2793|2896|2919|2934|2940|3001|3029|3034|3055|3070|3071|3084|3092|3156|3170|3200|3241|3267|3384|3394|3400|3430|3459|3475|3482|3483|3486|3490|3560|3561|3575|3606|3626|3627|3630|3635|3636|3669|3674|3683|3688|3689|3690|3712|3717|3764|3880|3895|3936|3937|3945|3956|3957|3985|4005|4015|4017|4023|4048|4050|4052|4060|4072|4190|4223|4239|4255|4256|4283|4288|4324|4478|4502|4542|4609|4641|4644|4653|4792|4794|4811|4835|4862|4942|5009|5106|5154|5156|5199|5214|5216|5267|5272|5311|5313|5321|5327|5328|5341|5352|5359|5360|5507|5552|5579|5580|5618|5621|5625|5641|5696|5698|5699|5721|5724|5732|5742|5764|5770|5788|5789|5800|5819|5831|5880|5918|5934|5935|5954|5955|5970|5997|5998|6001|6016|6041|6092|6277|6280|6281|6282|6352|6387|6414|6415|6443|6503|6541|6574|6599|6646|6659|6709|6715|6717|6720|6768|6793|6868|6891|6906|6925|6942|7043|7056|7073|7077|7099|7103|7168|7170|7171|7305|7357|7408|7409|7430|7431|7433|7450|7456|7512|7532|7534|7539|7805|7837|7905|7980|7991|8111|8291|8309|8325|8407|8424|8434|8455|8490|8507|8517|8519|8564|8612|8644|8671|8773|8778|8805|8825|8826|8835|8836|8848|8905|8935|8942|9027|9051|9108|9111|9133|9168|9208|9227|9249|9308|9315|9317|9332|9334|9342|9376|9404|9450|9535|9612|9619|9630|9765|9839|9910|9961|9963|10007|10057|10068|10095|10110|10129|10165|10186|10226|10246|10261|10267|10397|10398|10404|10406|10457|10491|10537|10544|10560|10563|10592|10614|10643|10659|10783|10841|10875|10906|10966|10978|10981|10993|11010|11031|11167|11185|11230|11262|11276|22795|22797|22856|22864|22885|23024|23137|23158|23189|23299|23350|23406|23411|23433|23464|23597|23643|23670|25800|25816|25819|25829|25891|25903|26007|26012|26060|26136|26268|26469|26471|26960|27067|27077|27165|27306|27314|27329|29087|29094|29108|29948|29952|29957|30851|50486|50507|50856|51141|51166|51181|51192|51201|51296|51309|51313|51316|51330|51375|51382|51454|51477|51571|51635|51752|51762|53346|53826|53827|54363|54440|54458|54491|54503|54518|54677|54829|54863|54873|55332|55526|55577|55619|55790|55830|55858|55861|55917|56654|56882|56937|56944|56952|57007|57035|57047|57136|57142|57153|57205|57447|57475|57659|57678|57692|57761|58191|58473|58510|58526|59343|60481|63027|63826|64093|64094|64114|64115|64116|64118|64240|64241|64332|64333|64400|64777|64781|64782|64853|66008|78990|79003|79026|79188|79660|79689|79777|79801|79815|79971|80013|80031|80352|80381|80824|81035|81552|81553|81579|81606|81622|81889|83442|83597|83719|83876|83937|84166|84418|84525|84557|84617|84734|84735|85440|89886|90427|90627|90693|90865|91368|91614|91663|92241|92369|93058|93517|112724|112849|113235|113277|115361|115761|122618|122953|123355|123688|123920|124925|124935|126308|127829|131450|131583|131870|133418|137872|138428|140606|143941|148398|148738|151393|152573|157378|157506|158471|160428|165530|170954|196527|205428|222643|245812|246329|253512|257106|266812|282991|283659|284207|284611|286343|286827|317649|344838|375061|375387|378938|389434|391356|493869|768211|100130890|100133941|100506742
C0263454,chloracne,10140|1021|1027|1390|1524|1647|1956|257019|257101|2944|2947|3039|3040|3043|3045|3047|3689|3872|5008|51251|5272|54205|55726|5734|6117|6251|7051|7832|79026|79722|83481|8766|940
C0023895,liver diseases,1230|1241|1281|1440|1544|1728|174|196|2027|210|23576|23600|241|249|2570|2678|27040|27306|2869|2875|3101|3162|3303|3556|3581|3589|3694|3728|4318|4524|4790|4843|4864|5265|540|54210|56624|5879|59|598|6039|6309|6341|6347|6430|6489|6647|6783|7051|7078|7104|7124|729230|7295|7305|7850|83716|8651|8829|885|9021|915|942|9420|94235|974|9971
C0022661,kidney failure - chronic,1374|1401|1535|1536|1555|1557|1636|1839|19|2056|213|2168|2194|2981|3156|3162|3479|3569|38|4481|4627|4790|4803|50507|5054|5076|51085|51094|5465|56729|5742|5743|57817|5970|6347|653361|6720|6721|7040|7124|847|9370|949|9619|968|353|873|51726
C1262477,weight decreased,10533|1280|1392|1831|2056|3440|3565|3586|3630|3976|4057|4852|5020|5443|54982|6647|9370|9474
C0023264,leigh disease,123263|1355|137682|1738|1892|374291|4508|4514|4535|4536|4537|4538|4540|4541|4566|4567|4577|4578|4695|4720|4722|4723|4724|4728|51204|5428|55572|55699|617|6389|6834|79133|79731|91942|9997|1352|4694|4704|4705|4719|4729|5160|8802|8803|10128|10667|23474|27089|54902|55037|55967|57107|80704|84340|85476|100131801|100303755
C0007570,celiac disease,100131327|100188846|100188870|100188871|100188872|100188873|100188874|100188875|10019|100301522|101927156|101927840|101928376|10301|117289|1233|1493|150223|150962|154215|2113|23150|23308|284099|29851|31|3115|3117|3119|317782|338332|3600|387357|4026|4650|4660|4774|5341|55892|57178|57514|5771|59067|60468|6311|7052|7473|79258|84162|864|8764|8809|919|941|9844|338|345|948|1636|2214|3429|3458|3604|3627|3934|4023|4283|4314|4321|5105|6280|6373|7031|8435|8876|9227|9863|10537|11254|51733|54657|55124|56624|115362|388743
C0017601,glaucoma,100048912|100287616|1029|1030|10587|120526|1301|144100|196294|23424|26610|2762|344148|4016|4638|51071|5373|54715|55133|60312|7042|8671|4053|4653|27151
C0039231,tachycardia,10451|1813|196|2641|2778|2796|3360|3630|3952|3972|51083|590|6262|6343|7124|7200|7432
